0,Alice,16_22_51_2021_02_06,50,200
0.11375,0.0165,-1.0935,0.12475,0.019,-0.9985
0.11375,0.0165,-1.0935,0.12475,0.019,-0.9985
0.1145,0.01975,-1.095,0.126,0.02075,-0.99875
0.11475,0.019,-1.09525,0.12075,0.01625,-1.00125
0.111,0.01825,-1.09575,0.12075,0.01625,-1.00125
0.113,0.01875,-1.09375,0.12375,0.018,-1.00075
0.1135,0.0225,-1.09575,0.1235,0.02075,-1.00025
0.1135,0.02,-1.095,0.12225,0.01625,-1.00125
0.1105,0.02075,-1.095,0.12,0.01725,-1.00075
0.111,0.0205,-1.096,0.12375,0.01925,-0.99975
0.111,0.0205,-1.096,0.12375,0.01925,-0.99975
0.11525,0.02125,-1.09375,0.12475,0.02175,-1.00125
0.1105,0.01975,-1.0965,0.123,0.0185,-1.00025
0.1105,0.01975,-1.0965,0.123,0.0185,-1.00025
0.11,0.02225,-1.09575,0.12225,0.01775,-1
0.11325,0.018,-1.09375,0.125,0.019,-0.9990001
0.11325,0.018,-1.09675,0.125,0.0185,-0.99975
0.11325,0.018,-1.09675,0.125,0.0185,-0.99975
0.11475,0.01875,-1.096,0.12375,0.018,-1.001
0.1145,0.02,-1.0945,0.124,0.0215,-0.9995
0.11275,0.0195,-1.0955,0.122,0.018,-1.0005
0.11225,0.0175,-1.09575,0.122,0.017,-1.00025
0.112,0.02,-1.09625,0.12275,0.018,-0.99975
0.112,0.02025,-1.09575,0.123,0.01975,-0.9990001
0.11075,0.0195,-1.096,0.12225,0.01925,-1.0005
0.1125,0.01925,-1.0965,0.12375,0.02075,-0.99975
0.114,0.019,-1.096,0.12425,0.01925,-1.00075
0.114,0.019,-1.096,0.12425,0.01925,-1.00075
0.11075,0.02125,-1.09725,0.12275,0.01875,-1.001
0.1115,0.01725,-1.09375,0.1225,0.0175,-1.00025
0.1125,0.0175,-1.09425,0.122,0.01675,-1
0.11325,0.0195,-1.0945,0.124,0.02025,-1
