0,Alice,15:11:34_2021_02_06,50,200
-0.5247501,0.05775,0.8585001,0.1665,0.057,-1.0025
-0.44425,0.07575,0.68475,0.166,0.0605,-1.0015
-0.414,0.04225,0.51075,0.17125,0.0545,-0.9850001
-0.4745,0.0325,0.49025,0.1665,0.05625,-0.993
-0.6,0.05875,0.382,0.16225,0.05575,-0.99525
-0.8835,0.108,0.19775,0.1655,0.0565,-0.99225
-1.37825,0.2595,-0.14125,0.168,0.053,-1.00225
-1.5,-0.0485,-0.025,0.16,0.0495,-0.9915
-1.62975,-0.62225,0.00375,0.1585,0.048,-0.9815
-1.304,-2.04275,-0.38975,0.17125,0.052,-0.9957501
-0.8655,-2.78225,-1.0225,0.172,0.05375,-0.9960001
0.1385,-4.659,-1.71575,0.17275,0.0525,-0.99725
2.13275,-7.123,-1.4775,0.16725,0.052,-0.9885001
5.4865,-5.72175,-1.4885,0.13925,0.0795,-1.01225
3.30425,-2.733,-3.36725,0.154,0.05925,-1.001
3.02975,-2.5755,-2.89575,0.17575,0.04725,-0.97975
3.18175,-2.5365,-1.9205,0.1945,0.04825,-0.9792501
3.15525,-2.38525,-1.127,0.20425,0.04625,-0.9945
2.51825,-2.01775,-0.471,0.17725,0.05725,-0.98975
2.2075,-1.989,-0.3895,0.18175,0.05375,-0.989
1.969,-2.015,-0.39775,0.183,0.049,-1.00675
1.52375,-1.84825,-0.486,0.1625,0.05925,-0.9877501
1.2865,-1.61575,-0.5825,0.16225,0.049,-1.00425
0.93475,-1.4405,-0.664,0.16225,0.05375,-1.00025
0.259,-1.3275,-0.89325,0.16125,0.052,-0.9955
-0.09450001,-1.315,-0.928,0.1575,0.05475,-0.99625
-0.3775,-1.21775,-0.7995,0.15375,0.05475,-0.9935001
-0.9250001,-0.74625,-0.615,0.158,0.05725,-0.9925001
-1.17875,-0.38175,-0.674,0.15825,0.06125,-0.989
-1.26225,-0.2555,-0.72425,0.15725,0.0575,-0.99125
-1.13525,-0.47225,-0.247,0.17,0.05625,-0.998
-1.11275,-0.39475,0.09575,0.17225,0.0545,-0.9960001
-1.19625,-0.24375,0.3955,0.16975,0.0545,-0.9932501
-1.32675,0.07725,1.06325,0.1685,0.0505,-0.9975001
-1.228,0.12925,1.30075,0.1675,0.0555,-0.9982501
-1.14125,0.10675,1.4175,0.1655,0.0585,-0.993
-1.096,0.19575,1.37875,0.16275,0.05025,-0.98825
-1,0.2075,1.38625,0.1625,0.054,-0.9910001
-0.84475,0.16875,1.36275,0.16275,0.0555,-1.002
-0.5875,0.09475,1.1565,0.1695,0.05075,-0.9982501
-0.518,0.0185,1.029,0.171,0.04825,-0.99475
-0.50275,-0.02125,0.8435,0.17125,0.05,-0.993
-0.68375,-0.1355,0.318,0.1655,0.0585,-0.99275
-0.67375,-0.15025,0.126,0.169,0.0545,-0.997
-0.6350001,-0.15675,-0.0035,0.166,0.05425,-0.99475
-0.9390001,-0.3835,-0.248,0.167,0.04475,-1.001
-1.24025,-0.60975,-0.41375,0.16375,0.05,-0.9892501
-1.29825,-0.6382501,-0.59325,0.16075,0.0605,-0.98975
-0.8325,-1.71125,-0.7455,0.167,0.05425,-0.9905
-0.282,-2.91575,-0.7920001,0.16875,0.04975,-0.99475
1.441,-4.73275,-0.67325,0.16325,0.056,-0.998
4.317,-4.93425,-1.01775,0.157,0.0665,-0.99125
4.02275,-4.40525,-1.34225,0.1575,0.06625,-0.99775
3.29,-3.45625,-2.18725,0.16525,0.05925,-1.012
2.9175,-2.3895,-2.79425,0.17775,0.049,-0.98625
3.10575,-2.48425,-2.1205,0.1795,0.06025,-0.989
3.025,-2.4695,-1.52875,0.18,0.054,-0.992
2.33725,-2.07575,-0.9292501,0.178,0.04925,-0.9942501
2.246,-2.08125,-0.5905001,0.177,0.05425,-0.98575
2.20325,-2.0945,-0.37475,0.177,0.05425,-0.98575
1.5935,-1.8835,-0.48875,0.161,0.05325,-1.00575
1.3105,-1.69525,-0.601,0.16375,0.0505,-1.00125
1.00275,-1.64,-0.7697501,0.168,0.053,-0.99775
0.72425,-1.6115,-0.9205,0.15875,0.05525,-0.992
0.35925,-1.6525,-0.98325,0.15175,0.0585,-0.99225
-0.0125,-1.58,-0.9915,0.153,0.05675,-0.9992501
-0.304,-1.384,-0.9652501,0.16175,0.05425,-0.99625
-0.969,-1.05725,-0.761,0.167,0.05925,-0.9905
-1.1655,-0.89925,-0.4465,0.16725,0.0575,-0.9867501
-1.53325,-0.514,0.0135,0.16675,0.05975,-0.99525
-1.73975,-0.312,0.057,0.1645,0.058,-0.9905
-1.8,-0.11925,0.2555,0.1645,0.058,-0.9905
-1.709,0.04225,0.7955,0.16575,0.05675,-0.99275
-1.58,0.034,1.0775,0.165,0.0575,-0.988
-1.43475,0.05825,1.24325,0.16975,0.0515,-1.00125
-1.04825,0.2225,1.1715,0.16875,0.05175,-0.99725
-0.94175,0.25475,1.01075,0.15975,0.05725,-0.9982501
-0.867,0.2875,0.8617501,0.15775,0.0555,-0.99125
-0.7135,0.1335,0.6842501,0.1555,0.05325,-0.9985
-0.5815001,-0.02475,0.7205001,0.16425,0.05325,-0.99275
-0.567,-0.0645,0.67675,0.1785,0.052,-0.99275
-0.8795,-0.03225,0.253,0.1715,0.057,-0.9845001
-1.06975,0.029,0.0475,0.165,0.05975,-0.9877501
-1.289,-0.23975,-0.09975,0.163,0.05575,-0.9995
-1.49375,-1.105,-0.275,0.164,0.056,-1.00025
-1.23825,-1.5605,-0.48175,0.16375,0.0595,-0.9860001
-0.39525,-2.65975,-0.6522501,0.16675,0.05525,-0.99225
3.269,-4.59775,-2.197,0.16125,0.0575,-0.98825
4.72325,-4.1295,-2.30625,0.15875,0.06675,-1.00475
5.32275,-3.5485,-1.6195,0.15675,0.063,-1.0065
5.21275,-3.042,-0.9775,0.155,0.059,-1.002
3.954,-1.76125,-1.23025,0.17175,0.0565,-0.9957501
3.79425,-1.648,-1.2135,0.187,0.047,-0.9960001
3.47225,-1.58725,-0.7377501,0.18675,0.04175,-0.9990001
3.13775,-1.4245,-0.63175,0.17775,0.04675,-0.9985
2.90225,-1.42025,-0.618,0.17625,0.059,-0.9835001
2.3375,-1.49425,-0.763,0.17125,0.05775,-0.9895
2.0285,-1.54575,-0.74775,0.17,0.05375,-1.001
1.64925,-1.50825,-0.7345001,0.16875,0.05075,-1.005
1.22325,-1.4385,-0.71725,0.16775,0.054,-1.00025
0.489,-1.2495,-1.069,0.167,0.05375,-0.99725
0.153,-1.355,-1.20925,0.167,0.05375,-0.99725
-0.462,-1.43375,-1.03475,0.1475,0.059,-0.9902501
-0.7745,-1.37975,-0.84675,0.14825,0.06125,-0.987
-1.0825,-1.266,-0.6665,0.1575,0.06025,-0.9950001
-1.59225,-0.85975,-0.4255,0.1695,0.05575,-0.9955
-1.7845,-0.6035,-0.22925,0.17375,0.054,-0.99525
-1.987,-0.27575,0.14525,0.17275,0.05925,-0.99125
-2.051,0.062,0.955,0.1625,0.0575,-0.98975
-1.866,-0.09850001,1.225,0.1655,0.0545,-0.99625
-1.72125,-0.1395,1.397,0.17125,0.05375,-0.9892501
-1.4255,0.2705,1.567,0.167,0.05625,-1.00125
-1.20775,0.2215,1.55475,0.16075,0.05925,-0.9892501
-0.96025,0.101,1.47625,0.15925,0.05925,-0.99475
-0.7837501,-0.15725,0.9390001,0.16325,0.047,-0.9990001
-0.85,-0.36525,0.58675,0.17275,0.04725,-1.00125
-1.031,-0.4915,0.18575,0.175,0.047,-1.00575
-1.1045,-0.30825,-0.431,0.1645,0.059,-0.98625
-1.27025,-0.61,-0.56225,0.16475,0.0505,-0.9950001
-1.38875,-1.0625,-0.7147501,0.16575,0.052,-0.9925001
-0.671,-2.4005,-0.969,0.1645,0.0635,-0.9877501
0.4215,-2.8655,-1.22925,0.16375,0.06325001,-0.9855
2.1605,-3.8335,-1.40375,0.1655,0.05725,-0.9905
4.13175,-4.03325,-0.98125,0.1635,0.05625,-0.99125
6.93025,-3.001,0.61475,0.14625,0.06225,-1.00325
6.20425,-2.0775,0.2035,0.1495,0.062,-1.005
3.6665,-1.02225,-0.9225,0.191,0.04,-1.008
3.377,-0.766,-0.8095,0.20575,0.04075,-0.99375
3.11975,-0.52425,-0.43225,0.18725,0.05275,-0.9845001
2.835,-0.4365,-0.24875,0.1675,0.06525,-0.9787501
2.86775,-0.8355001,-0.60175,0.17525,0.05575,-1.0135
2.6915,-0.9245,-0.7270001,0.178,0.056,-0.9815
2.07,-0.83575,-0.808,0.17925,0.056,-0.9985
1.74625,-0.86325,-0.7977501,0.16925,0.061,-1.007
1.359,-0.96725,-0.851,0.16,0.0595,-0.993
0.34925,-1.074,-1.10875,0.15375,0.05075,-0.9965001
0.02675,-1.17125,-1.1275,0.1545,0.0515,-0.9950001
-0.30075,-1.19275,-0.99625,0.15525,0.05325,-0.9950001
-1.04625,-1.009,-0.71175,0.1535,0.064,-0.9925001
-1.37975,-0.8465,-0.5835,0.15075,0.05875,-0.993
-1.6445,-0.64925,-0.336,0.15575,0.0565,-0.9975001
-1.989,-0.28975,0.27275,0.16475,0.05325,-0.9990001
-2.0525,-0.23025,0.608,0.16475,0.05325,-0.9990001
-1.97125,-0.216,1.04475,0.1705,0.0595,-0.99475
-1.76925,-0.15375,1.45475,0.1705,0.0595,-0.99475
-1.28075,0.02325,1.5725,0.1655,0.055,-0.9945
-1.00575,0.02775,1.475,0.1625,0.05625,-0.99475
-0.69025,-0.01925,1.14275,0.16325,0.0555,-0.9965001
-0.7005,0.00425,0.8325,0.167,0.0505,-0.993
-0.76825,-0.037,0.4895,0.1745,0.0485,-0.9902501
-0.8635001,-0.20975,0.22475,0.17625,0.0505,-0.9955
-0.83525,-0.35525,-0.08475,0.1655,0.053,-0.9975001
-0.87125,-0.3085,-0.159,0.16925,0.04925,-0.9900001
-1.33675,-0.56025,-0.38575,0.16325,0.05475,-0.9960001
-1.475,-0.883,-0.61325,0.1575,0.0605,-0.98875
-1.021,-1.5895,-0.7647501,0.1605,0.06675,-0.9845001
0.24975,-3.284,-0.65325,0.164,0.06625,-0.9842501
3.572,-3.481,-1.52225,0.16375,0.06500001,-0.9982501
5.126,-3.10125,-1.40625,0.158,0.0595,-1.00475
6.259501,-3.2015,-1.0705,0.15625,0.0665,-1.00425
5.1695,-2.338,-1.1465,0.1625,0.062,-0.9945
3.99525,-1.54,-1.00575,0.1945,0.04,-0.998
3.0925,-0.9425001,-0.4555,0.1965,0.0435,-0.99225
2.94925,-0.8972501,-0.5015,0.1795,0.0555,-0.98625
2.96175,-0.9587501,-0.59175,0.17275,0.06575,-0.97975
2.5735,-1.15675,-0.9125,0.16125,0.05375,-1.00275
2.0825,-1.0965,-0.9465001,0.162,0.057,-0.9892501
1.63975,-1.0795,-0.978,0.173,0.05425,-1.00025
1.00725,-1.01875,-0.92575,0.177,0.0555,-0.9942501
0.766,-1.23375,-0.957,0.168,0.0535,-0.9942501
0.38075,-1.34775,-1.0455,0.15225,0.05525,-0.9990001
-0.361,-1.2995,-0.94875,0.15175,0.052,-0.9915
-0.6265,-1.35175,-0.693,0.16525,0.049,-0.9985
-0.96025,-1.3835,-0.4385,0.16125,0.05925,-0.97825
-1.7325,-0.878,0.079,0.165,0.06025,-0.99125
-2.04725,-0.42175,0.41525,0.1645,0.06175,-1.00125
-2.21175,-0.155,0.63425,0.1655,0.063,-0.9905
-2.079,-0.00675,1.0945,0.176,0.054,-1.0025
-1.852,0.0055,1.511,0.1725,0.05575,-0.9915
-1.57025,-0.02575,1.81425,0.16375,0.05775,-0.9915
-1.1435,-0.129,1.516,0.16425,0.05775,-0.998
-1.002,-0.1865,1.229,0.16425,0.05525,-0.99375
-0.8997501,-0.2555,0.9217501,0.16425,0.05,-0.99475
-0.86625,-0.393,0.6445,0.16675,0.047,-0.9967501
-0.94425,-0.9145001,0.13225,0.1725,0.05275,-0.9985
-0.9315,-0.9250001,-0.0865,0.16275,0.051,-0.992
-0.8655,-0.72475,-0.253,0.16925,0.056,-0.9942501
-1.28475,-0.79325,-0.53175,0.16775,0.06275,-1.0085
-1.468,-1.13925,-0.656,0.16125,0.05925,-0.9932501
-1.28925,-1.9165,-0.742,0.157,0.047,-0.9895
