0,Doc,02_25_06_2021_02_07,50,200,13
-0.034,-0.86575,-0.79575,-0.199,1.015,-0.09225
-0.09725001,-1.26825,-0.5272501,-0.03875,1.148,-0.20775
-0.03625,-1.18725,-0.5420001,-0.03875,1.148,-0.20775
0.10175,-1.1065,-0.63275,0.089,1.15425,-0.1685
0.177,-1.18425,-0.6385,-0.07775,1.1135,0.0055
0.25775,-1.17325,-0.4865,-0.40975,1.09525,0.04475
0.22925,-1.09575,-0.3845,-0.459,1.09925,-1.301
0.2785,-1.0985,-0.2185,0.10325,0.59025,-0.858
0.2035,-0.9865,0.093,0.10625,0.48175,-1.0205
0.30125,-0.76775,0.1165,0.25325,0.36825,-0.90325
0.213,-0.23475,0.01525,0.5415,0.32325,-0.731
0.30275,-0.06125,-0.189,0.58225,-0.17325,-0.77125
0.435,-0.06325001,-0.232,0.577,-0.26175,-0.7275
0.52925,-0.01525,-0.33725,0.47775,-0.198,-0.47225
0.36475,0.05975,-0.59175,0.03475,-0.27875,-0.54675
0.3915,0.7237501,-1.70325,0.19325,-0.391,-0.385
0.6125,1.4955,-1.33325,0.4585,-0.381,-0.27875
0.77175,0.545,-1.59475,0.80075,-0.28025,-0.42125
0.5225,-0.23775,-0.77125,0.56075,-0.31,-0.362
0.487,-0.31075,-1.21375,0.66725,-0.7155001,-0.63725
0.4805,-0.0545,-0.9250001,0.67225,-0.8512501,-0.8685001
1.06725,0.569,-0.351,0.77825,-0.71575,-0.6965
0.29675,0.11175,-0.16625,0.4475,-0.274,-0.8822501
0.05775,0.49925,-0.344,0.35425,-0.0065,-1.1365
-0.005,0.6957501,-0.50375,0.25775,0.0435,-1.2595
0.25125,0.52025,-0.6455,0.10925,-0.2985,-1.181
0.24725,0.54275,-0.8105,0.3,-0.4245,-0.8745
0.2395,0.8415,-1.0505,0.60175,-0.346,-0.55825
0.541,0.96,-1.05325,0.85225,0.06500001,-0.08750001
0.432,0.7302501,-1.05725,0.8955001,-0.0775,-0.4105
0.4445,0.66425,-1.06325,0.7787501,-0.68725,-1.3145
0.338,0.247,-1.14625,0.73675,-0.19275,-0.5847501
0.64175,0.8525,-0.6955,0.5685,-0.11,-0.69425
0.38275,0.34525,-0.29925,0.5685,-0.11,-0.69425
0.35525,0.3835,-0.41875,0.896,-0.2335,-0.44225
0.5132501,0.39375,-0.59575,0.8285,-0.2395,-0.552
0.68825,0.25075,-0.877,0.8027501,-0.02425,-0.692
1.02825,-0.19775,-0.881,0.7830001,-0.1255,-0.9702501
1.14725,0.1745,-0.5005,0.7,-0.308,-0.669
1.17,-0.16975,-0.41325,0.786,-0.50825,-0.45
0.99275,0.24675,-0.91,0.91425,0.04275,-0.483
0.92875,0.2745,-0.72325,0.8150001,-0.04225,-0.4305
0.74,0.20025,-0.491,0.7635,-0.2475,-0.40225
0.60975,0.10825,-0.39625,0.7635,-0.2475,-0.40225
0.488,-0.158,-0.182,0.76425,-0.272,-0.07225
0.8092501,-0.0125,-0.66825,0.7837501,-0.079,0.00425
1.01475,0.175,-0.4005,1.243,0.22375,-0.28825
1.11475,-0.2055,-0.6725,1.673,0.2965,-0.63025
1.02675,-0.36475,-0.892,1.495,0.1115,-0.6465001
0.9155,-0.27075,-0.8947501,0.8805,0.061,-0.39
0.849,-0.08050001,-0.0705,0.8805,0.061,-0.39
0.975,0.0595,0.29275,0.8805,0.061,-0.39
0.9087501,-0.043,-0.601,0.67325,-0.00825,-0.22375
1.00575,-0.04025,-0.53725,0.581,-0.28275,-0.18
0.932,0.033,-0.53775,0.8365,-0.24525,-0.5025
0.83275,0.1935,-0.3895,1.0995,-0.039,-0.7375
0.9137501,0.18,-0.44375,0.93375,-0.08475,-0.4905
0.9137501,0.18,-0.44375,0.9022501,-0.05175,-0.36875
0.9620001,0.20525,-0.35225,0.88025,-0.05575,-0.316
0.9192501,0.23625,-0.406,0.93375,0.1105,-0.43825
0.93275,0.21075,-0.40875,0.955,0.16725,-0.365
0.9295,0.179,-0.426,0.987,0.22225,-0.27925
0.946,0.17925,-0.484,0.9590001,0.227,-0.284
0.96,0.158,-0.48875,0.9620001,0.18975,-0.30725
0.997,0.18725,-0.4805,0.95925,0.1595,-0.2765
0.91675,0.13,-0.55225,0.95525,0.155,-0.2635
0.694,0.21875,-0.2755,0.9572501,0.137,-0.264
0.94675,0.22275,-0.437,0.9497501,0.08625001,-0.25825
0.98225,0.08875,-0.50775,0.9497501,0.08625001,-0.25825
0.8955001,0.18725,-0.5735,0.9265,0.07700001,-0.2735
0.849,0.08225001,-0.5395,0.9292501,0.0545,-0.29975
0.9562501,0.166,-0.43325,0.9695001,0.02925,-0.355
0.9597501,0.13875,-0.37925,0.93975,0.0005,-0.36325
0.87125,0.0975,-0.42975,0.966,-0.0105,-0.34575
0.9195001,0.063,-0.49125,0.9405,0.00825,-0.3305
0.9480001,0.13,-0.504,0.94925,0.0335,-0.32625
0.94525,0.16425,-0.50875,0.96675,0.0885,-0.34125
0.9152501,0.1185,-0.515,0.9752501,0.115,-0.3625
0.9250001,0.08525001,-0.44825,0.96675,0.12525,-0.347
0.906,0.05825,-0.453,0.95575,0.13325,-0.316
1.033,-0.0525,-0.317,0.95575,0.1415,-0.298
1.0015,0.11775,-0.47525,0.9532501,0.1255,-0.30025
0.94525,0.13475,-0.416,0.9580001,0.06375001,-0.37325
0.91825,0.133,-0.36325,0.9685,0.018,-0.406
0.895,0.121,-0.352,0.95175,0.02375,-0.39025
0.92075,0.11725,-0.42175,0.9332501,0.02625,-0.36225
0.9612501,0.1385,-0.5085,0.95175,0.04025,-0.305
0.94025,0.132,-0.531,0.9585,0.05275,-0.3
0.94025,0.132,-0.531,0.9407501,0.096,-0.28125
0.90425,0.174,-0.43175,0.9407501,0.096,-0.28125
0.8955001,0.18825,-0.42125,0.955,0.11725,-0.29325
0.9022501,0.20125,-0.44125,0.9845001,0.1625,-0.305
0.9095001,0.21925,-0.45475,0.96175,0.19775,-0.27575
0.9155,0.21875,-0.45475,0.95125,0.1755,-0.26575
0.9305,0.201,-0.46525,0.947,0.14525,-0.2675
