0,Alice,14:33:59_2021_02_06,50,200
0.04225,0.10325,-1.085,0.133,0,-0.9792501
0.04225,0.10325,-1.085,0.14075,-0.0125,-0.99375
0.05125,0.11525,-1.08875,0.14075,-0.0125,-0.99375
0.05625,0.11125,-1.09975,0.12675,-0.0175,-1.00175
0.0575,0.09325001,-1.092,0.12675,-0.0175,-1.00175
0.0575,0.09325001,-1.092,0.12725,-0.01225,-0.983
0.0505,0.094,-1.0765,0.12725,-0.01225,-0.983
0.042,0.113,-1.08425,0.1405,-0.00975,-0.98375
0.042,0.113,-1.08425,0.1405,-0.00975,-0.98375
0.0475,0.12,-1.115,0.1425,-0.009500001,-1.01825
0.05525,0.10125,-1.0955,0.1395,-0.02375,-1.029
0.05625,0.09500001,-1.08825,0.13075,-0.02925,-1.01575
0.05625,0.09500001,-1.08825,0.13075,-0.02925,-1.01575
0.052,0.11,-1.11875,0.1335,-0.01075,-1.0055
0.052,0.11,-1.11875,0.1335,-0.01075,-1.0055
0.05875,0.1065,-1.099,0.1315,-0.01625,-1.0095
0.05875,0.1065,-1.099,0.13075,-0.0265,-0.9645001
0.0465,0.09425,-1.051,0.13075,-0.0265,-0.9645001
0.05375,0.10675,-1.0935,0.1305,-0.01175,-0.99125
0.05025,0.104,-1.101,0.128,-0.014,-1.00475
0.05025,0.104,-1.101,0.128,-0.014,-1.00475
0.053,0.09500001,-1.08775,0.13225,-0.02225,-1.00325
0.053,0.09500001,-1.08775,0.13225,-0.02225,-1.00325
0.05475,0.08675,-1.09625,0.11925,-0.013,-1.00325
0.05475,0.08675,-1.09625,0.11925,-0.013,-1.00325
0.05375,0.09025001,-1.0765,0.125,-0.021,-0.993
0.06075,0.1115,-1.09225,0.13575,-0.02325,-0.99975
0.06075,0.1115,-1.09225,0.1375,-0.03475,-1.011
0.0635,0.109,-1.09025,0.1375,-0.03475,-1.011
0.067,0.10625,-1.101,0.1205,-0.026,-1.00925
0.05225,0.08800001,-1.08375,0.1205,-0.026,-1.00925
0.05125,0.098,-1.08725,0.1215,-0.01425,-0.99275
0.05125,0.098,-1.08725,0.1215,-0.01425,-0.99275
0.052,0.1055,-1.1075,0.1305,-0.01675,-1.00075
0.052,0.1055,-1.1075,0.1305,-0.01675,-1.00075
0.059,0.10025,-1.0995,0.127,-0.0235,-1.01125
0.059,0.10025,-1.0995,0.127,-0.0235,-1.01125
0.0575,0.09550001,-1.08,0.12825,-0.0275,-0.9905
0.05875,0.105,-1.09725,0.1255,-0.024,-0.9990001
0.062,0.09900001,-1.092,0.1255,-0.024,-0.9990001
0.062,0.09900001,-1.092,0.1235,-0.02775,-0.99275
0.06025,0.09575,-1.0895,0.1235,-0.02775,-0.99275
0.06125,0.10325,-1.09375,0.1235,-0.02775,-0.99275
0.05325,0.11325,-1.0775,0.13725,-0.02775,-0.9950001
0.05325,0.11325,-1.0775,0.13725,-0.02775,-0.9950001
0.05975,0.12275,-1.09975,0.14325,-0.026,-1.00375
0.05975,0.12275,-1.09975,0.14325,-0.026,-1.00375
0.06575,0.09075,-1.0795,0.1275,-0.03925,-1.0035
0.06575,0.09075,-1.0795,0.1275,-0.03925,-1.0035
0.058,0.101,-1.08825,0.12725,-0.028,-0.9985
0.058,0.101,-1.08825,0.13175,-0.0155,-1.007
0.05475,0.1095,-1.1055,0.13175,-0.0155,-1.007
0.05475,0.1095,-1.1055,0.1355,-0.01875,-0.9792501
0.04725,0.1015,-1.07825,0.1355,-0.01875,-0.9792501
0.05475,0.113,-1.109,0.1355,-0.01875,-0.9792501
0.05475,0.113,-1.109,0.1355,-0.01875,-0.9792501
0.0545,0.10475,-1.0945,0.1355,-0.01875,-0.9792501
0.0545,0.10475,-1.0945,0.1355,-0.01875,-0.9792501
0.047,0.0935,-1.06625,0.1385,-0.01775,-1.0115
0.04725,0.10725,-1.107,0.1305,-0.0205,-0.97575
0.051,0.104,-1.10775,0.1285,-0.0105,-1.0145
0.051,0.104,-1.10775,0.1285,-0.0105,-1.0145
0.05025,0.08975001,-1.076,0.1255,-0.021,-0.9885001
0.05025,0.08975001,-1.076,0.1255,-0.021,-0.9885001
0.0495,0.09550001,-1.09,0.12425,-0.014,-0.99375
0.0495,0.09550001,-1.09,0.12425,-0.014,-0.99375
0.0445,0.09925,-1.09625,0.12575,-0.00825,-0.99375
0.0445,0.09925,-1.09625,0.12575,-0.00825,-0.99375
0.04825,0.10075,-1.099,0.1315,-0.00875,-0.99875
0.04825,0.10075,-1.099,0.1315,-0.00875,-0.99875
0.05425,0.10475,-1.0915,0.13425,-0.01675,-1.0035
0.05425,0.10475,-1.0915,0.13425,-0.01675,-1.0035
0.05575,0.1075,-1.08925,0.134,-0.023,-0.99725
0.053,0.103,-1.09,0.131,-0.02125,-1.0005
0.05275,0.10225,-1.09375,0.13275,-0.0155,-1.00425
0.05275,0.10225,-1.09375,0.13275,-0.0155,-1.00425
0.057,0.09825,-1.06775,0.125,-0.02,-1.00175
0.057,0.09825,-1.06775,0.125,-0.02,-1.00175
0.03925,0.106,-1.10225,0.13625,-0.0135,-0.9865
0.03925,0.106,-1.10225,0.1375,-0.00225,-1.0305
0.05525,0.11075,-1.14375,0.1375,-0.00225,-1.0305
0.05525,0.11075,-1.14375,0.1295,-0.02525,-1.01575
0.0575,0.09450001,-1.0715,0.1295,-0.02525,-1.01575
0.04575,0.1015,-1.0545,0.13275,-0.02975,-0.9652501
0.04575,0.1015,-1.0545,0.13275,-0.02975,-0.9652501
0.0535,0.11425,-1.12975,0.13025,-0.00525,-1.003
0.0535,0.11425,-1.12975,0.13025,-0.00525,-1.003
0.0475,0.09275001,-1.0855,0.1295,-0.00825,-0.9992501
0.05075,0.09875,-1.06025,0.13425,-0.02525,-0.978
0.05075,0.09875,-1.06025,0.13425,-0.02525,-0.978
0.05075,0.09875,-1.06025,0.134,-0.015,-1.0125
0.05375,0.1215,-1.11975,0.134,-0.015,-1.0125
0.055,0.09775001,-1.09225,0.12975,-0.01525,-1.00175
0.055,0.09775001,-1.09225,0.12975,-0.01525,-1.00175
0.0565,0.0865,-1.07125,0.1245,-0.0215,-0.994
0.05775,0.10475,-1.09625,0.1245,-0.0215,-0.994
0.03925,0.1105,-1.0975,0.1245,-0.0215,-0.994
0.03925,0.1105,-1.0975,0.1245,-0.0215,-0.994
0.049,0.1035,-1.049,0.14275,-0.006,-1.0315
0.0575,0.1125,-1.1125,0.1375,-0.02425,-1.0155
0.0575,0.1125,-1.1125,0.1375,-0.02425,-1.0155
0.0575,0.1125,-1.1125,0.12075,-0.0105,-1.02075
0.05425,0.0825,-1.0415,0.1275,-0.0195,-0.965
0.04975,0.1185,-1.107,0.1275,-0.0195,-0.965
0.05175,0.10975,-1.12225,0.1275,-0.0195,-0.965
0.05175,0.10975,-1.12225,0.1275,-0.0195,-0.965
0.0505,0.081,-1.05825,0.13325,-0.02,-1.0015
0.059,0.10525,-1.10225,0.125,-0.01625,-0.9915
0.06075,0.10725,-1.09725,0.12425,-0.02525,-1.00075
0.06075,0.10725,-1.09725,0.135,-0.02425,-0.9785001
0.056,0.11825,-1.11275,0.1375,-0.0175,-1.00975
0.0535,0.112,-1.0965,0.1385,-0.02475,-1.0145
0.0535,0.112,-1.0965,0.13575,-0.02775,-0.9990001
0.056,0.096,-1.0725,0.13575,-0.02775,-0.9990001
0.06175,0.10525,-1.10425,0.125,-0.0225,-0.9965001
0.0555,0.09775001,-1.092,0.1275,-0.0215,-0.9915
0.05025,0.09425,-1.07775,0.13025,-0.019,-0.9925001
0.05025,0.09425,-1.07775,0.13025,-0.019,-0.9925001
0.05075,0.11075,-1.1045,0.13625,-0.01675,-0.99725
0.0475,0.10475,-1.08925,0.13625,-0.01675,-0.99725
