1,Tony,01_08_02_2021_02_07,50,150,13
0.01775,-0.365,-0.947,-0.144,0.2405,-0.97975
0.03575,-0.349,-1.09625,-0.12325,0.216,-0.8865001
0.0535,-0.36825,-1.04175,-0.12325,0.216,-0.8865001
0.03525,-0.33325,-0.9867501,-0.1585,0.24125,-1.005
0.06950001,-0.296,-0.9252501,-0.109,0.15675,-0.9827501
0.102,-0.293,-0.85325,-0.098,0.163,-0.81475
0.1155,-0.36975,-0.75125,-0.248,0.22475,-0.74525
-0.10775,-0.4045,-1.0635,-0.39,0.2095,-0.7755001
-0.10775,-0.4045,-1.0635,-0.50925,0.162,-0.795
-0.07825001,-0.389,-0.98825,-0.34725,0.10225,-0.812
0.08050001,-0.366,-0.88025,-0.208,0.18175,-0.957
0.06325001,-0.3985,-0.81725,-0.2095,0.1675,-0.92575
0.05725,-0.479,-0.8815001,-0.1975,0.08575001,-0.95675
0.07075001,-0.63775,-0.7625,-0.18275,0.1195,-0.8305001
0.1465,-0.698,-0.816,-0.13575,0.2185,-0.8922501
0.22425,-0.63075,-0.9447501,-0.4155,0.26125,-0.9455
0.1965,-0.6160001,-0.895,-0.2585,0.15,-0.95925
0.1075,-0.6415001,-0.9305,-0.27125,0.1805,-0.978
0.14275,-0.6242501,-0.9597501,-0.23,0.228,-0.9805
0.142,-0.6085,-0.9725,-0.16775,0.327,-0.82375
0.14525,-0.5925,-0.9580001,-0.19475,0.447,-0.747
0.20375,-0.61575,-0.86325,-0.3435,0.24425,-0.9405
0.2245,-0.66675,-0.7705001,-0.35075,0.22525,-0.9070001
0.20925,-0.6497501,-0.72,-0.3645,0.2455,-0.9227501
0.1955,-0.64575,-0.69275,-0.36225,0.318,-0.9665
0.226,-0.56875,-0.77325,-0.3605,0.34875,-1.032
0.202,-0.483,-0.82775,-0.305,0.404,-1.05425
0.18475,-0.48475,-0.81925,-0.35,0.417,-1.01875
0.16,-0.49625,-0.878,-0.2765,0.308,-1.031
0.16025,-0.4765,-0.9160001,-0.23025,0.30425,-1.061
0.16775,-0.464,-0.9645001,-0.16075,0.33925,-1.09825
0.2805,-0.4815,-1.0655,-0.141,0.30275,-1.05125
0.2805,-0.4815,-1.0655,-0.141,0.30275,-1.05125
0.20525,-0.45825,-0.9720001,-0.141,0.30275,-1.05125
0.1815,-0.49175,-0.94925,-0.07650001,0.26275,-1.02725
0.2105,-0.55075,-1.0005,-0.101,0.2295,-0.9770001
0.27025,-0.5305001,-0.9935001,-0.194,0.23975,-0.8775001
0.282,-0.4095,-0.7747501,-0.27675,0.246,-0.9260001
0.269,-0.3255,-1.018,-0.297,0.20275,-0.9202501
0.4285,-0.2695,-0.92875,-0.3165,0.15825,-1.0095
0.30925,-0.245,-0.9250001,-0.203,0.0815,-1.069
0.22775,-0.1835,-0.9275001,-0.036,0.2005,-0.983
0.2485,-0.13375,-0.929,0.40075,0.3235,-1.581
0.23175,-0.11275,-0.899,0.373,0.278,-1.18075
0.17125,-0.145,-0.8707501,0.37725,0.3795,-0.98075
0.142,-0.20975,-0.859,0.36825,0.19525,-0.9250001
0.1985,-0.2805,-0.8335,0.34475,0.09925,-1.127
0.27,-0.31375,-0.9367501,0.3055,0.123,-1.04575
0.4195,-0.305,-0.97225,0.14425,0.139,-0.8425
0.4405,-0.2675,-0.91825,0.08975001,0.203,-0.78575
