2,Yufei,21_20_05_2021_02_18,50,300,7
0.92125,-0.2065,-0.73825,0.9827501,0.13725,-1.07725
0.9515001,-0.2115,-0.68575,0.951,0.2745,-0.9382501
1.24375,-0.24325,-0.7195,0.85425,0.32175,-0.77325
1.2805,-0.3985,-0.8995001,0.66825,0.31475,-0.38725
1.16975,-0.3135,-0.77775,0.68525,0.2275,-0.30375
1.10375,-0.327,-0.5205,0.558,0.17975,-0.125
1.0765,-0.46425,-0.31675,0.5495,0.1105,-0.20525
1.03825,-0.555,-0.24525,0.5705,0.08175001,-0.24825
0.97825,-0.53025,-0.26875,0.5527501,-0.0255,-0.30825
0.83025,-0.2205,-0.3215,0.669,-0.15,-0.1815
0.7360001,-0.07925,-0.38175,0.65025,-0.165,-0.182
0.7402501,0.11875,-0.386,0.61725,-0.226,-0.21475
0.7402501,0.11875,-0.386,0.61425,-0.3235,-0.14275
0.708,0.2105,-0.341,0.641,-0.26325,-0.167
0.6465001,0.26175,-0.31275,0.636,-0.38875,0.14125
0.6160001,0.29425,-0.2695,0.6267501,-0.3335,0.16875
0.5477501,0.356,-0.2095,0.6012501,-0.26325,0.1165
0.51425,0.40475,-0.14175,0.62325,-0.2565,0.03025
0.513,0.433,-0.09425,0.65975,-0.2995,0.01825
0.513,0.433,-0.09425,0.6455,-0.23375,0.04225
0.53075,0.398,-0.03075,0.7417501,-0.38025,0.11575
0.64375,0.2505,-0.01325,0.85475,-0.33025,0.414
0.7065001,0.21475,-0.037,0.83025,-0.26225,0.3875
0.8330001,0.2315,-0.09725001,0.9105,-0.253,0.26375
0.86825,0.2085,-0.107,0.90025,-0.26225,0.2565
0.8947501,0.17225,-0.06025,0.891,-0.25575,0.29075
0.94275,0.1085,0.11525,1.00725,-0.18975,0.141
0.9495,0.1255,0.1635,1.0205,-0.12725,0.1095
0.9725,0.1165,0.28075,1.0205,-0.12725,0.1095
0.9080001,0.1095,0.4055,1.05325,0.03775,0.11625
0.9080001,0.1095,0.4055,1.05325,0.03775,0.11625
0.90325,0.23825,0.27675,1.059,0.03775,0.109
0.9432501,0.5095,0.0485,1.05925,0.06525,0.01625
0.896,0.48275,-0.015,1.15025,0.411,-0.124
0.8575,0.3505,-0.07625,1.241,0.5025,-0.0035
0.8905001,0.19925,-0.11475,1.203,0.5055,0.09625001
1.1635,-0.11925,-0.115,1.08575,0.3615,0.1375
1.264,-0.313,-0.20475,1.03625,0.28575,0.1705
1.23075,-0.7237501,0.1015,0.98575,0.232,0.184
1.177,-0.70775,0.1335,0.9680001,0.2055,0.11425
1.16375,-0.7005,0.20575,0.97475,0.202,0.1775
1.0045,-0.5905001,0.25375,0.92975,0.12425,0.239
0.9450001,-0.4605,0.268,1.00025,0.16025,0.12975
0.9310001,-0.28525,0.31475,0.92825,0.07600001,-0.03425
0.9540001,-0.14275,0.31175,0.9687501,0.05075,-0.1035
0.9622501,0.04525,0.313,0.92575,0.185,0.19375
0.9422501,0.146,0.27225,0.8010001,0.27925,0.2645
0.9867501,0.03675,0.15,0.6595,0.58875,0.34225
0.99275,0.12475,0.171,0.54325,0.7275,0.3705
0.988,0.2725,0.09525,0.5505,0.7582501,0.43275
0.9662501,0.29725,0.1305,0.5595,0.76375,0.47975
0.9162501,0.26575,0.30825,0.484,0.76175,0.525
0.9367501,0.211,0.22875,0.43975,0.7977501,0.5145
0.9192501,0.127,0.09550001,0.42975,0.8577501,0.44325
0.75525,-0.26475,0.254,0.45,0.8975,0.474
0.67675,-0.4605,0.58175,0.54825,0.832,0.49025
0.6895,-0.7425,0.67875,0.6012501,0.8027501,0.41
0.69525,-0.78225,0.6677501,0.62475,0.79375,0.38575
0.671,-0.7805001,0.6645001,0.64625,0.808,0.3675
0.66925,-0.7747501,0.628,0.649,0.812,0.399
0.7455,-0.70775,0.544,0.5995,0.74975,0.403
0.7455,-0.70775,0.544,0.5925,0.7365,0.43675
0.7455,-0.70775,0.544,0.5945,0.7235,0.3905
0.77125,-0.6605,0.50625,0.549,0.712,0.46475
0.79325,-0.60625,0.492,0.49225,0.7015001,0.4995
0.82775,-0.5505,0.503,0.467,0.683,0.5085
0.7775,-0.50425,0.485,0.4965,0.52775,0.5125
0.76425,-0.50125,0.48425,0.5495,0.4575,0.5015
0.7525001,-0.49925,0.47525,0.6015,0.38175,0.49425
0.61225,-0.44525,0.55425,0.59,0.431,0.47325
0.5017501,-0.47275,0.6245,0.65275,0.474,0.5527501
0.487,-0.5115,0.5755,0.66275,0.5387501,0.63675
0.463,-0.5265,0.60175,0.5847501,0.77675,0.7955
0.44625,-0.523,0.63725,0.64025,0.8182501,0.7765
0.4585,-0.4975,0.68975,0.9810001,0.74575,0.6037501
0.5205,-0.4995,0.67325,0.9810001,0.74575,0.6037501
0.5845,-0.55575,0.7015001,0.9547501,0.68275,0.674
0.62225,-0.61,0.78275,0.8495001,0.6985,0.7075
0.6595,-0.5575,0.794,0.6605,0.7047501,0.61725
0.748,-0.5075001,0.58575,0.6525,0.637,0.54925
1.00925,-0.5245,0.38975,0.6355,0.43525,0.4745
0.95925,-0.5985,0.55875,0.61475,0.34775,0.49775
0.9495,-0.7262501,0.613,0.56975,0.29,0.52525
0.9112501,-0.7,0.7302501,0.522,0.239,0.56125
0.86225,-0.60925,0.67325,0.52775,0.24425,0.5470001
0.67975,-0.33325,0.62975,0.52225,0.2515,0.54075
0.6077501,-0.28425,0.66025,0.5215001,0.2665,0.53275
