2,DieDi,23_43_04_2021_02_19,50,300,15
1.4285,-0.9925001,-1.0125,1.696,-0.3005,0.14225
1.9315,-1.0365,-0.8247501,2.62325,-0.082,-0.5255
4.18525,-1.5485,-0.89825,1.87125,0.31375,-1.05225
3.74575,-2.0865,-1.49775,1.22425,0.2805,-0.95775
-0.3685,-0.57375,-0.9580001,0.8225001,-0.13125,-0.41925
-1.12375,-0.3745,-0.8882501,0.50475,-0.207,-0.39
-1.092,-0.5965,-0.609,0.3005,-0.0865,-0.496
-0.11575,-1.17275,-0.32675,0.44075,-0.00175,-0.422
0.75525,-1.1415,-0.187,0.54925,-0.00075,-0.2255
0.51025,-1.035,-0.0905,0.7657501,0.08425,-0.0505
0.1555,-0.5235,0.6,1.0415,0.13225,-0.02425
0.6765,0.01125,-0.36575,1.179,0.2845,-0.1495
-0.00075,-0.72975,-0.7815,1.3025,0.45125,-0.30625
0.6012501,-0.7165,-0.295,1.38325,0.59475,-0.24925
0.282,-0.67875,0.26675,1.2915,0.67075,-0.224
0.09275001,-0.7305,0.8732501,1.0565,0.68825,-0.138
0.69475,-1.302,0.51475,0.81375,0.49375,0.07125001
0.9105,-1.32975,-0.19275,0.6765,0.4585,0.07275
0.152,-0.848,-0.27075,0.77,0.35675,0.05475
0.41375,-0.8782501,-0.45025,0.867,0.34175,0.15525
0.48225,-1.08675,-0.80875,0.87975,0.36825,0.28
0.4195,-0.8527501,-0.7705001,0.87025,0.34175,0.1995
0.43375,-0.61625,-0.58,1.0645,0.203,-0.03725
0.23725,-0.36975,-0.488,1.20275,0.178,-0.11975
0.32675,-1.15125,-0.1295,1.071,0.24225,0.0315
0.30325,-1.42875,-0.0075,0.9992501,0.327,0.0025
0.20925,-1.25725,0.00725,0.9670001,0.374,-0.054
-0.01025,-0.8362501,-0.5,0.799,0.33425,0.0155
0.161,-1.065,-0.382,0.6587501,0.265,0.24075
0.3955,-1.3475,-0.30525,0.7450001,0.335,0.20675
0.409,-1.31475,-0.34225,1.13225,0.793,-0.0435
0.1775,-0.7745,-0.74,1.0525,0.8285,0.02225
0.2095,-0.9225,-0.89775,0.6725,0.6160001,0.242
0.2435,-0.9155,-0.76525,0.58325,0.51025,0.4095
0.259,-0.726,-0.1895,1.19575,0.32325,-0.16425
0.22125,-0.79975,-0.04975,1.17875,0.33925,-0.43025
0.21375,-1.03375,-0.1315,1.3405,0.26125,-0.14125
0.049,-0.8725001,-0.629,0.98325,0.10175,0.11275
0.0625,-0.61725,-0.81625,0.62375,-0.017,0.44075
0.101,-0.87925,-0.734,0.7730001,0.02175,0.28325
0.14325,-1.3285,-0.47075,1.1345,0.0975,-0.02525
0.041,-0.9727501,-0.47675,1.1345,0.0975,-0.02525
0.0485,-0.6105,-0.3935,1.29,0.0375,-0.257
-0.04025,-0.897,-0.49225,1.12125,-0.218,-0.3925
-0.0155,-1.28325,-0.67975,1.0105,-0.342,-0.2515
-0.01275,-1.02125,-0.12975,1.01575,-0.1575,-0.17925
-0.04275,-0.56975,0.20925,1.09075,-0.02075,-0.20175
-0.0245,-0.8462501,-0.08725,1.146,0.051,-0.14325
0.18175,-1.18475,-0.6385,1.08725,0.01375,-0.019
0.29375,-1.02775,-0.905,1.12075,-0.3035,-0.10075
0.304,-0.538,-0.729,1.24625,-0.385,-0.047
0.271,-0.3935,-0.54875,1.23325,-0.349,-0.33175
0.6662501,-1.0735,-0.7075,0.82525,-0.02025,-0.573
0.6405,-1.011,-0.776,0.88525,-0.16925,-0.278
0.514,-0.964,-0.73125,1.166,-0.43,0.13625
0.318,-0.754,-0.38675,0.92975,-0.44625,-0.28325
0.2935,-0.763,-0.29125,0.8290001,-0.212,-0.75525
0.3635,-0.7705001,-0.329,0.8290001,-0.212,-0.75525
0.42325,-0.68625,-0.4415,1.1745,-0.11525,-0.28425
0.45625,-0.60675,-0.3585,1.16275,-0.08450001,-0.06725001
0.63425,-0.665,-0.18875,0.9505001,-0.044,0.025
0.909,-0.8165001,-0.1595,0.8315001,0.23225,-0.41875
1.19,-0.887,-0.304,0.92625,0.2045,-0.31225
1.7625,-0.7097501,-0.463,0.9415001,0.07025,-0.16975
1.34925,-0.24175,-1.20425,0.8695,0.0245,-0.4425
1.122,-0.442,-0.88775,0.984,0.063,-0.49425
1.02375,-0.476,-0.791,1.0145,0.06225,-0.402
1.036,0.01725,-1.171,0.9820001,0.11575,-0.134
1.07525,0.3725,-1.31175,0.9902501,0.12525,-0.09450001
1.06975,0.6620001,-1.38575,1.04,0.159,-0.34625
0.9540001,0.7995,-1.28275,1.26525,0.244,-0.36375
0.49775,0.758,-1.1645,1.35525,0.20575,-0.29175
0.36875,0.66975,-0.67675,1.41925,0.1435,-0.221
0.32925,0.5345,-0.39375,1.356,-0.0575,-0.04625
0.359,0.3305,-0.39725,1.0475,-0.03,0.03925
0.414,0.216,-0.46725,1.0475,-0.03,0.03925
0.44575,-0.06025,-0.34475,0.9382501,0.02125,0.05575
0.45825,-0.06925,-0.16,0.9277501,0.08350001,-0.07300001
0.5135,-0.026,-0.0125,1.007,0.11875,-0.2405
0.595,-0.13525,-0.1195,0.8555,0.06425,-0.313
0.705,-0.26675,-0.2775,0.70925,0.123,-0.2635
0.8010001,-0.47325,-0.4805,0.669,0.15525,-0.1325
0.5477501,-0.15725,-0.3605,0.526,0.1265,-0.16375
0.55775,0.07975,-0.28625,0.504,0.1475,-0.44975
0.707,0.30725,-0.203,0.497,0.18875,-0.5275
0.7505,0.61725,-0.45975,0.4765,0.313,-0.6675
0.78975,0.433,-0.75125,0.39425,0.31875,-0.65775
0.7147501,0.26325,-0.892,0.347,0.2925,-0.61675
0.77525,0.09500001,-1.013,0.269,0.1915,-0.6765
0.753,0.19225,-1.013,0.34875,0.20125,-0.9170001
0.656,0.4105,-0.8207501,0.498,0.348,-1.00625
0.6125,0.46525,-0.72475,0.4915,0.367,-0.9532501
0.5962501,0.39325,-0.80825,0.594,0.1195,-1.13875
0.442,-0.05525,-0.62375,0.41625,0.1645,-1.5895
0.31125,-0.2595,-0.47375,0.66075,0.4895,-0.7985001
0.23875,-0.23925,-0.38125,0.427,0.44625,-0.674
1.05025,0.3115,-2.05475,0.80775,0.24675,-0.46225
0.5945,-0.12925,-0.51425,0.84,0.0545,-0.48825
0.85725,0.09200001,-0.2475,0.91425,-0.07075001,-0.44725
0.7647501,0.14275,0.01125,0.8857501,-0.31975,-0.27175
1.0335,0.1575,-0.373,0.8315001,-0.359,-0.30825
0.818,0.13475,-0.8592501,0.8487501,-0.31675,-0.5045
0.79175,0.08725,-0.9875001,0.8322501,-0.21075,-0.613
0.68825,-0.029,-0.8232501,0.791,0.08575001,-0.59975
0.7495,0.0185,-0.71075,0.8105,0.18125,-0.6390001
0.8045,0.08475,-0.62625,0.81975,0.25,-0.6775
0.87275,0.02975,-0.5335,0.8155,0.3215,-0.5527501
0.877,-0.0815,-0.6245,0.77575,0.318,-0.48425
0.83075,-0.07,-0.675,0.7927501,0.35525,-0.5645
0.804,0.00425,-0.64125,0.8132501,0.366,-0.6615
0.81225,0.09025001,-0.63375,0.7902501,0.336,-0.6702501
0.8247501,0.139,-0.6620001,0.75475,0.289,-0.65725
0.80225,0.12975,-0.6382501,0.7375,0.2605,-0.62625
0.80975,0.131,-0.6235,0.7992501,0.2255,-0.6545
0.813,0.123,-0.63075,0.82175,0.07125001,-0.5835
0.83925,0.1035,-0.5790001,0.8477501,0.006,-0.51825
0.8347501,0.08975001,-0.58075,0.851,-0.0415,-0.504
0.826,0.085,-0.61675,0.859,-0.07125001,-0.5035
0.8157501,0.12025,-0.64025,0.8105,-0.06950001,-0.47525
0.821,0.11075,-0.65,0.8165001,-0.00775,-0.50925
0.83425,0.055,-0.62125,0.8765001,0.17075,-0.5745
0.8372501,0.0345,-0.60175,0.8520001,0.27875,-0.6145
0.84425,0.0375,-0.59925,0.84025,0.32275,-0.6205
0.8395001,0.03925,-0.59925,0.84725,0.331,-0.595
0.84175,0.0305,-0.60475,0.83675,0.29225,-0.534
0.8387501,0.01675,-0.5847501,0.837,0.289,-0.48975
0.8337501,0.01325,-0.61125,0.84525,0.191,-0.50875
0.8362501,0.02275,-0.64125,0.85825,0.1425,-0.6095001
0.832,0.053,-0.65025,0.8430001,0.08350001,-0.6355
0.8295,0.09175,-0.65075,0.82375,0.0065,-0.60875
0.813,0.14575,-0.6395,0.80125,-0.10075,-0.5470001
0.8115,0.14,-0.6497501,0.80775,-0.155,-0.5495
0.81525,0.119,-0.6447501,0.7855,-0.142,-0.5405
0.8225001,0.07125001,-0.626,0.83,-0.03275,-0.522
0.80825,0.06225,-0.6267501,0.84,0.02075,-0.53525
0.8157501,0.068,-0.6407501,0.8335,0.08225001,-0.563
0.818,0.06625,-0.631,0.8195,0.13375,-0.5715
0.8100001,0.04525,-0.59725,0.8195,0.13375,-0.5715
0.85425,0.00925,-0.59325,0.822,0.16375,-0.59425
0.8420001,0.06675,-0.751,0.82525,0.19825,-0.619
0.8060001,0.07300001,-0.7265,0.8207501,0.229,-0.62125
0.7657501,0.0235,-0.62625,0.80625,0.25175,-0.5560001
0.7657501,0.0235,-0.62625,0.8050001,0.22025,-0.5765
0.78925,-0.027,-0.65825,0.81225,0.18375,-0.58025
0.8035001,-0.04425,-0.6525,0.80475,0.18,-0.5375
0.8002501,-0.08475,-0.64625,0.8005,0.163,-0.57175
0.7970001,-0.10875,-0.6615,0.7887501,0.20475,-0.59225
0.802,-0.1265,-0.64925,0.77075,0.279,-0.58625
0.8132501,-0.12675,-0.63525,0.76825,0.314,-0.5815001
0.81625,-0.121,-0.62025,0.76675,0.34675,-0.55875
0.818,-0.12525,-0.609,0.76625,0.38725,-0.55425
0.8165001,-0.1295,-0.60525,0.73375,0.442,-0.55325
0.827,-0.12075,-0.6115,0.7295001,0.45525,-0.56975
0.83025,-0.122,-0.6195,0.723,0.47075,-0.5495
0.84825,-0.15225,-0.6332501,0.7237501,0.49075,-0.5355
0.85675,-0.1795,-0.6175,0.7185,0.5105,-0.51725
0.8362501,-0.188,-0.59175,0.7147501,0.5175,-0.525
0.82525,-0.14525,-0.58375,0.706,0.52,-0.527
0.83075,-0.09150001,-0.5915,0.7040001,0.52025,-0.528
0.84225,-0.02025,-0.60175,0.70125,0.515,-0.52425
0.8305001,0.032,-0.61875,0.71325,0.48575,-0.53925
0.82875,0.00975,-0.62525,0.70575,0.467,-0.54275
0.8257501,-0.036,-0.649,0.7090001,0.443,-0.5525
0.8185,-0.143,-0.65575,0.71125,0.42375,-0.57225
0.812,-0.175,-0.64925,0.71125,0.42375,-0.57225
0.80475,-0.16525,-0.6447501,0.706,0.43725,-0.559
0.813,-0.143,-0.6405,0.70625,0.44875,-0.56225
0.81525,-0.12175,-0.634,0.70025,0.47475,-0.562
0.8245,-0.0865,-0.6192501,0.7095,0.5095,-0.53575
0.8245,-0.07425001,-0.61725,0.707,0.50075,-0.526
0.8265001,-0.06175,-0.6235,0.708,0.4755,-0.535
0.8240001,-0.05775,-0.6245,0.71175,0.45125,-0.56625
0.8225001,-0.07525001,-0.6245,0.71175,0.45125,-0.56625
0.82125,-0.07575,-0.6245,0.71,0.42025,-0.5775
0.81625,-0.081,-0.628,0.70775,0.4075,-0.5615
0.8405001,-0.09775001,-0.6210001,0.71825,0.38675,-0.5665
0.8505,-0.10775,-0.62025,0.714,0.389,-0.587
0.84175,-0.10025,-0.61075,0.711,0.3955,-0.59775
0.8315001,-0.079,-0.6075,0.7162501,0.44625,-0.5955001
0.82675,-0.064,-0.613,0.70925,0.466,-0.50125
0.8207501,-0.038,-0.63075,0.7135,0.49625,-0.50975
0.81725,-0.03625,-0.629,0.71325,0.50425,-0.532
0.8200001,-0.04225,-0.62575,0.70525,0.5145,-0.532
0.8255,-0.081,-0.6382501,0.7015001,0.50825,-0.52975
0.836,-0.10475,-0.6300001,0.702,0.4905,-0.54375
0.8380001,-0.1315,-0.6102501,0.7055,0.47375,-0.552
0.84525,-0.163,-0.595,0.7130001,0.45,-0.5412501
0.8415,-0.157,-0.59125,0.72075,0.4425,-0.54525
0.8435,-0.14125,-0.6015,0.71825,0.44525,-0.5405
0.83825,-0.1205,-0.6145,0.716,0.463,-0.52625
0.83425,-0.11925,-0.6085,0.715,0.47225,-0.53275
0.8380001,-0.12575,-0.6020001,0.70875,0.479,-0.54625
0.83025,-0.11875,-0.6215,0.70875,0.48575,-0.5495
0.8295,-0.09850001,-0.642,0.71,0.4805,-0.551
0.83,-0.075,-0.63525,0.70825,0.47575,-0.54225
0.8257501,-0.05225,-0.628,0.7105001,0.4645,-0.539
0.8405001,-0.043,-0.608,0.716,0.44875,-0.5475
0.8485,-0.05325,-0.6192501,0.71425,0.447,-0.5455
