2,Normalll,20_07_31_2021_02_19,50,300,8
0.83275,-0.118,-0.978,-0.19825,0.5790001,-1.11875
0.8207501,0.0055,-0.9365001,-0.12025,0.5565,-0.9215
0.95,0.1525,-1.45175,-0.1125,0.864,-0.15525
0.466,0.21025,-1.83925,-0.17075,0.84475,0.1085
0.8840001,0.263,-2.133,-0.22575,0.9382501,-0.2255
0.9252501,0.22625,-1.8515,-0.182,0.94425,-0.38625
0.15925,0.10025,-0.413,-0.2155,0.98225,-0.40675
0.283,0.03825,-0.35875,-0.28,0.5847501,-0.626
0.45625,0.42025,-1.3025,-0.42625,0.7295001,-0.6075
0.51475,0.47525,-1.105,-0.3625,0.454,-0.6895
0.499,0.46175,-1.04025,-0.3885,0.40125,-0.8707501
0.44,0.437,-1.085,-0.825,0.7460001,-1.0385
0.4895,0.04975,-0.8585001,-0.74125,0.8832501,-0.887
0.45525,-0.1265,-0.8222501,-0.4905,0.6850001,-1.02275
0.4955,-0.1555,-0.9355,-0.6455,0.6472501,-1.291
0.69775,0.0785,-0.9382501,-0.6012501,0.6575,-1.08775
0.7772501,0.176,-0.905,-0.5617501,0.5790001,-0.9525
0.6785001,0.15025,-0.9745001,-0.2795,0.57025,-0.7787501
0.532,0.119,-0.7135,-0.1805,0.60275,-0.8552501
0.6497501,0.0345,-0.4985,-0.0255,0.58125,-0.8850001
0.73125,-0.07775,-0.53925,0.07600001,0.56475,-0.7985001
0.67575,-0.28175,-0.8537501,-0.256,0.5642501,-0.6357501
0.774,-0.334,-0.664,-0.24025,0.3875,-0.53675
0.555,-0.3345,-0.8757501,0.293,0.13075,-0.30425
0.4555,-0.03175,-0.98975,0.2345,0.08075,-0.14825
0.4085,0.22275,-0.98875,0.23775,0.07625,-0.075
0.4715,0.59375,-0.8325,0.367,-0.01525,-0.18975
0.4695,0.55625,-0.7635,0.557,-0.2235,-0.47875
0.513,0.41575,-0.835,0.8100001,-0.42925,-0.75475
0.508,0.2845,-0.836,0.8412501,0.11675,-0.6395
0.5595,0.11775,-0.8782501,0.8485,0.26825,-0.5545
0.56025,0.06125,-0.9085,1.0355,0.36475,-0.5825
0.5362501,-0.012,-0.9135001,0.8222501,0.3695,-1.0635
0.51725,-0.14625,-0.90175,0.7147501,0.31675,-0.8065
0.54075,-0.13225,-0.9317501,1.38625,0.6195,-0.2865
0.5605,-0.13,-0.9530001,1.16775,0.07575,-0.9162501
0.633,-0.07575,-0.80575,0.9777501,0.61325,-0.49725
0.61,0.02725,-0.78325,0.55975,0.8375,-0.65175
0.5385,0.1405,-0.8725001,0.10225,0.9752501,-0.86725
0.52025,0.11975,-0.86975,0.59375,-0.04025,-1.28275
0.52875,0.13725,-0.934,0.846,-0.73225,-0.79075
0.5420001,0.082,-0.9310001,0.68825,-0.59275,-0.2445
0.5925,0.114,-0.87775,0.756,-0.28175,0.02425
0.59475,0.15075,-0.8207501,0.756,-0.28175,0.02425
0.57375,0.1535,-0.8555,0.9325001,0.1395,-0.436
0.5757501,0.1685,-0.8872501,0.9752501,-0.02325,-1.111
0.601,0.09925,-0.8477501,0.9037501,-0.09125,-1.1075
0.574,0.10525,-0.83775,0.68525,0.0285,-0.408
0.58325,0.094,-0.8347501,0.6892501,0.011,-0.7255
0.62125,0.0585,-0.8330001,0.744,0.03025,-0.9020001
0.6975001,0.0005,-0.8495001,0.72175,0.04,-0.41225
0.61225,-0.012,-0.83825,0.7550001,0.08675,-0.33225
0.60675,-0.0065,-0.7795,0.7722501,0.1025,-0.392
0.68025,-0.012,-0.74825,0.80975,-0.05675,-0.679
