0,QAQ,21_55_17_2021_02_18,50,200,13
-0.21375,0.1675,-1.535,0.032,0.3805,-1.38025
-0.3085,0.18975,-1.469,-0.013,0.43025,-1.3
-0.421,0.119,-1.46225,-0.0455,0.44525,-1.22725
-0.42225,0.12925,-1.38575,-0.1225,0.40875,-1.086
-0.389,0.14075,-1.28875,-0.13975,0.37975,-1.1595
-0.4545,0.16775,-1.09575,-0.09775001,0.38925,-1.05825
-0.34175,0.1335,-1.17775,-0.09125,0.41225,-0.9587501
-0.32625,0.07925,-1.3195,-0.07175,0.3785,-0.9332501
-0.33525,0.10875,-1.25425,0.0735,0.26025,-0.9637501
-0.37975,0.138,-1.347,-0.03125,0.22625,-1.07575
-0.325,0.2485,-1.53475,-0.07075001,0.07825001,-1.27525
-0.06,0.39875,-1.72,0.0355,-0.0395,-1.06325
0.081,0.49,-1.73925,-0.041,-0.13225,-0.95525
0.33325,0.5272501,-1.53425,-0.087,-0.13025,-0.78825
0.42075,0.53775,-1.455,-0.087,-0.13025,-0.78825
0.53575,0.5565,-1.316,-0.24075,-0.09675001,-0.6620001
0.72675,0.43825,-1.2645,-0.372,-0.166,-0.714
0.8465,0.26475,-1.23625,-0.22,-0.3205,-0.8380001
0.89175,0.1225,-1.10575,-0.18525,-0.35575,-1.0765
0.9450001,0.06500001,-1.0305,-0.33325,-0.28325,-1.1955
1.0975,0.06525,-1.05175,-0.60475,0.1205,-1.66275
1.10575,0.06425,-1.08825,-0.429,0.06675,-1.5525
1.017,-0.0265,-1.25075,-0.37025,0.20525,-1.518
0.9432501,-0.08475,-1.32775,-0.3925,0.1905,-1.5575
0.8365,-0.12075,-1.393,-0.3485,0.13,-1.38425
0.73825,-0.112,-1.46625,-0.34825,0.17725,-1.1605
0.543,-0.06525,-1.53,-0.28575,0.215,-0.91
0.45125,-0.0265,-1.5165,-0.231,0.18,-0.8755
0.3725,0.01225,-1.4985,-0.18875,0.1975,-0.817
0.20125,0.0555,-1.51975,-0.28775,0.1775,-0.81775
0.11725,0.07525001,-1.50975,-0.27225,0.051,-0.74475
0.07575,0.0855,-1.4815,-0.08375,0.0495,-0.51625
-0.0115,0.05625,-1.44125,-0.21475,0.1455,-0.23575
-0.03425,0.04675,-1.35325,-0.16125,0.108,-0.443
-0.05825,0.0435,-1.3035,-0.1335,0.1555,-0.7105001
-0.10125,0.01175,-1.156,-0.08525001,0.17475,-1.18475
-0.12125,-0.0265,-1.15625,0.059,0.06975,-1.20325
-0.08350001,-0.02,-1.055,0.09875,0.02175,-1.14525
-0.01975,-0.01875,-1.07075,0.047,0.05725,-1.07925
0.00925,-0.0475,-1.1305,-0.00125,-0.017,-1.04825
0.02875,-0.147,-1.05875,-0.03175,-0.0935,-0.9965001
0.02875,-0.147,-1.05875,-0.06075,-0.1335,-0.9305
0.0255,-0.15275,-1.00475,-0.10475,-0.238,-0.93975
0.01775,-0.14325,-0.8945,-0.09275001,-0.23,-0.9192501
-0.09075,-0.126,-0.6605,-0.19375,-0.20775,-0.7335001
-0.172,-0.08325,-0.571,-0.2015,-0.171,-0.6670001
-0.067,-0.012,-0.47075,-0.103,-0.142,-0.629
0.04925,-0.003,-0.57175,-0.103,-0.142,-0.629
0.12725,0.0135,-0.66275,-0.1015,-0.32925,-0.9497501
0.16125,0.03375,-0.6085,-0.123,-0.29375,-0.9810001
0.09450001,0.18,-0.659,0.033,0.003,-1.22475
0.1145,0.22325,-0.6615,0.0075,0.199,-1.36
0.0255,0.34675,-0.8425,-0.01875,0.09550001,-2.08375
-0.09025001,0.37275,-0.957,-0.19875,-0.03475,-2.327
-0.139,0.43125,-1.12225,-0.48675,-0.19175,-2.044
-0.04525,0.6115,-1.53675,-0.58425,-0.35725,-1.434
-0.08350001,0.67325,-1.64325,-0.513,-0.36175,-1.1645
-0.09450001,0.71325,-1.67275,-0.41725,-0.38,-1.05
0.006,0.6407501,-1.66725,-0.36175,-0.25825,-0.94925
0.53525,0.25075,-2.115,-0.2815,-0.08800001,-1.0385
-0.0015,0.201,-2.3485,-0.28075,-0.08800001,-1.12325
-0.5455,0.38075,-1.45775,-0.24225,-0.10825,-1.05425
-0.6580001,0.367,-1.36925,-0.21175,0.0085,-0.882
-0.625,0.296,-1.35325,-0.33275,0.01,-0.868
-0.60925,0.07250001,-1.4735,-0.1995,-0.1055,-0.7690001
-0.417,0.10125,-1.44025,-0.18125,0.02975,-1.0635
-0.38375,-0.0605,-1.49975,-0.12525,-0.024,-1.15275
-0.0965,0.068,-1.15875,-0.07775,-0.06475,-1.082
-0.0415,0.094,-0.9817501,0.01625,0.023,-0.969
-0.11475,-0.01725,-0.9152501,0.05375,0.11475,-0.9235001
0.03225,-0.204,-0.869,0.05,0.16025,-1.07375
0.0495,-0.272,-0.9752501,0.169,0.01775,-1.09825
0.08075,-0.3325,-1.06625,0.382,0.08400001,-0.8060001
0.06325001,-0.408,-0.97825,0.29925,0.26225,-0.5775
0.14325,-0.543,-0.9447501,0.29925,0.26225,-0.5775
0.227,-0.42275,-1.1355,0.32575,0.18,-0.44825
0.09725001,-0.379,-0.63125,0.341,0.2025,-0.4595
0.15425,-0.35175,-0.6077501,0.25975,0.108,-0.359
0.31975,-0.40275,-0.40125,0.18925,0.01975,-0.41025
1.4535,-1.141,0.16,0.102,-0.36725,-0.34775
1.434,-0.92375,-0.44525,0.1095,-0.5132501,-0.42
0.64525,-0.34675,-0.4815,0.1585,-0.8487501,-0.5395
0.15,-0.173,-0.08725,0.2525,-1.08175,-0.56125
0.1535,-0.07975,-0.03175,0.19375,-0.9575,-0.77
0.38225,-0.22875,-0.08675,0.14525,-0.9495,-0.88175
0.3025,-0.268,-0.148,0.08725,-1.078,-1.0135
0.2005,-0.3165,-0.1025,0.1155,-1.1505,-0.98875
0.03725,-0.2405,-0.15875,0.17825,-1.1345,-0.9915
-0.034,0.12275,-0.41525,0.381,-0.93275,-0.8765001
0.09575,0.15875,-0.7445,0.3675,-0.74875,-0.761
0.08450001,0.2035,-1.15675,0.31475,-0.63275,-0.6605
-0.16025,0.4045,-1.481,0.249,-0.5865,-0.41975
-0.0375,0.371,-1.64425,0.21875,-0.53125,-0.40025
0.0285,0.38225,-1.63925,0.2345,-0.53025,-0.46025
0.0285,0.38225,-1.63925,0.25275,-0.54975,-0.41025
0.06625,0.581,-1.5215,0.35475,-0.62125,-0.649
0.2,0.56825,-1.278,0.49275,-0.761,-0.9655001
0.29425,0.495,-1.113,0.66525,-0.96725,-1.302
0.22875,0.17925,-1.18925,0.71025,-1.09025,-1.37675
0.37525,0.0075,-0.93475,0.765,-0.95,-1.218
0.34625,-0.24575,-0.92225,0.6825,-0.84175,-1.21575
0.59725,-0.33175,-0.9342501,0.63775,-0.86975,-1.12675
0.75775,-0.61725,-1.11625,0.54925,-0.89525,-0.9855
0.7595,-1.12625,-0.9177501,0.539,-0.85575,-0.7265
0.7180001,-1.16525,-0.7130001,0.5345,-0.64675,-0.441
0.6752501,-1.09475,-0.618,0.41675,-0.06475,-0.1245
0.6855,-0.9482501,-0.65125,0.4265,0.15775,-0.1415
0.62475,-0.92075,-0.55225,0.47725,0.5935,-0.152
0.565,-0.8325,-0.37525,0.57775,0.61575,-0.07425001
0.53975,-0.8615,-0.21575,0.64275,0.5295,-0.08225001
0.53975,-0.8615,-0.21575,0.6755,0.8065,-0.34475
0.53975,-0.8615,-0.21575,0.5775,1.0915,-0.47675
0.49325,-0.8997501,-0.222,0.4615,1.2065,-0.26825
0.454,-0.8347501,-0.261,0.2645,1.5,0.023
0.42575,-0.6145,-0.31,0.17025,1.72675,0.0485
0.328,-0.44675,-0.29,0.03275,1.62325,-0.0055
0.179,-0.24,-0.39225,-0.09200001,0.651,0.346
0.179,-0.24,-0.39225,-0.09200001,0.651,0.346
0.08750001,0.021,-0.475,-0.04025,-0.23525,0.266
0.08750001,0.021,-0.475,-0.087,-0.45925,0.137
0.158,0.31975,-0.55225,-0.0525,-0.42875,0.08125
0.158,0.31975,-0.55225,-0.0525,-0.42875,0.08125
0.11475,0.766,-0.5755,-0.12475,-0.604,-0.02575
-0.06475,0.87525,-0.384,-0.15325,-0.70875,-0.1725
0.00975,1.662,-0.36675,-0.28,-0.9022501,-0.104
0.004,1.57775,-0.41375,-0.35175,-1.09825,-0.01625
0.03175,1.27375,-0.41875,-0.481,-1.4165,-0.1215
0.4695,0.43375,-0.25675,-0.58125,-1.989,-0.20875
0.513,0.17025,-0.3015,-0.7632501,-2.786,-0.3945
0.4485,-0.01525,-0.335,-0.714,-2.70625,-0.4395
0.28175,-0.366,-0.09975,-0.65975,-2.44925,-0.445
0.178,-0.661,0.16525,-0.38425,-1.85225,-0.5135
0.19425,-1.035,0.4825,-0.26375,-1.6025,-0.61175
0.402,-1.76825,0.4965,-0.21425,-0.9555001,-0.7327501
0.484,-1.825,0.0385,-0.1375,-0.708,-0.59475
0.464,-1.63625,-0.07125001,-0.02325,-0.562,-0.45525
0.5085,-1.41575,0.1785,0.072,-0.321,-0.36025
0.488,-1.38325,0.1645,-0.00025,-0.10625,-0.36425
0.39625,-1.216,0.1095,-0.00025,-0.10625,-0.36425
0.3355,-0.946,0.15,-0.0435,0.043,-0.2995
0.3355,-0.946,0.15,-0.08575001,0.1985,0.03575
0.25925,-0.68075,0.20575,-0.10175,0.349,0.24825
0.219,-0.48175,0.10075,-0.214,0.7265,0.4555
0.31925,-0.07675,-0.09975,-0.033,2.1895,0.66425
0.3885,0.098,-0.3275,0.07325,2.4735,0.15175
0.31175,0.23125,-0.4795,0.50025,1.8345,0.006
0.201,0.3605,-0.45675,0.5815001,1.5355,0.07325
0.001,0.48825,-0.3505,0.617,1.3825,0.0235
-0.69125,1.2565,-0.34525,0.592,1.26525,-0.05175
-0.71075,1.5825,-0.46575,0.5345,0.88625,-0.0635
-0.705,1.93625,-0.51675,0.4675,0.66475,-0.02025
-0.7425,2.06,-0.6385,0.40625,0.46625,0.009500001
-0.74375,1.68825,-0.698,0.2765,0.149,0.097
-0.5412501,1.5925,-0.6070001,0.27475,0.03175,0.09075
-0.23175,1.364,-0.4845,0.3055,-0.1305,0.01425
-0.144,1.24025,-0.4545,0.3255,-0.19875,-0.024
-0.08400001,1.128,-0.46525,0.2665,-0.2985,-0.0775
-0.0405,0.93125,-0.4315,0.2665,-0.2985,-0.0775
0.115,0.3815,-0.38025,0.25025,-0.95125,-0.5782501
0.1885,0.23675,-0.33775,0.39975,-1.50575,-0.75525
0.26975,0.05375,-0.1635,0.4435,-1.7945,-0.7097501
0.31375,-0.04275,-0.15025,0.4815,-1.6775,-0.6775
0.34625,-0.155,-0.133,0.48425,-1.51225,-0.642
0.41125,-0.496,-0.019,0.499,-1.39575,-0.79075
0.471,-0.7097501,0.064,0.4995,-1.256,-0.719
0.5335,-0.9185001,0.2075,0.51425,-1.087,-0.63025
0.75425,-1.35825,0.35725,0.58375,-0.7655,-0.45725
0.86375,-1.443,0.23675,0.58375,-0.622,-0.47975
