1,Yufei,21_23_23_2021_02_18,50,150,6
-0.164,-0.37375,-0.7425,-0.22075,-0.5205,-1.205
-0.15775,-0.58375,-0.78225,-0.395,-0.47125,-1.09425
-0.19625,-0.74375,-0.846,-0.477,-0.45475,-1.02025
-0.19975,-0.8757501,-1.0425,-0.51625,-0.2775,-0.65425
-0.19975,-0.8757501,-1.0425,-0.51625,-0.2775,-0.65425
-0.19975,-0.8757501,-1.0425,-0.38225,-0.31975,-0.5805
-0.0975,-0.78525,-1.09325,-0.28525,-0.513,-0.6152501
-0.05625,-0.75975,-1.1915,-0.2635,-0.56325,-0.57625
0.061,-0.873,-1.34625,-0.25475,-0.5395,-0.5005
0.27775,-1.00625,-1.46875,-0.1905,-0.54975,-0.53425
0.5725001,-0.84275,-1.5585,-0.11375,-0.5775,-0.6155
0.59225,-0.77125,-1.6045,-0.08425,-0.569,-0.56675
-0.07825001,-0.72975,-1.189,-0.16975,-0.5425,-0.76425
-0.1175,-0.6975001,-1.08475,-0.16325,-0.44,-0.74225
-0.12825,-0.6885,-1.0005,-0.15525,-0.375,-0.739
-0.1565,-0.6817501,-0.8717501,-0.14975,-0.388,-0.8002501
-0.1605,-0.69475,-0.85975,-0.176,-0.323,-0.75375
-0.1955,-0.65975,-0.82775,-0.14725,-0.332,-0.76775
-0.184,-0.65,-0.84575,0.0535,-0.04925,-1.01775
-0.13725,-0.5815001,-0.8010001,0.047,-0.18875,-1.016
-0.12475,-0.48,-0.7130001,0.0125,-0.2305,-1.11075
-0.1615,-0.48925,-0.71675,0.0385,-0.2515,-1.23975
-0.12575,-0.546,-0.7180001,0.0905,-0.30775,-1.56075
-0.09775001,-0.592,-0.76025,0.0925,-0.2615,-1.57275
-0.07625,-0.67125,-0.7747501,-0.0275,-0.28075,-1.45025
-0.05275,-0.737,-0.75525,-0.113,-0.2625,-1.36375
-0.004,-0.85475,-0.6810001,-0.1625,-0.24375,-1.26425
-0.004,-0.85475,-0.6810001,-0.171,-0.27675,-1.1495
0.20275,-0.82675,-0.7960001,-0.1965,-0.30775,-1.027
-0.0035,-0.8655,-0.79075,-0.216,-0.26975,-0.85625
0.00425,-0.8235,-0.8305001,-0.1875,-0.29425,-0.8085001
-0.00775,-0.7605,-0.85475,-0.1795,-0.32,-0.84675
-0.0315,-0.71175,-0.83325,-0.1355,-0.3825,-0.81875
-0.1105,-0.64425,-0.7600001,-0.0585,-0.265,-0.725
-0.11775,-0.60575,-0.7550001,-0.087,-0.20025,-0.6555001
-0.0625,-0.646,-0.7360001,-0.1785,-0.11425,-0.60925
-0.0075,-0.6165,-0.66475,-0.26025,0.01875,-0.5705
-0.024,-0.5805,-0.6265,-0.30625,0.039,-0.5895
-0.00525,-0.565,-0.6145,-0.347,0.0425,-0.6217501
-0.004,-0.6215,-0.62975,-0.47025,0.0885,-0.731
-0.012,-0.6842501,-0.66475,-0.49375,0.11025,-0.82375
0.028,-0.814,-0.723,-0.54725,0.156,-0.9447501
0.09900001,-0.90925,-0.8470001,-0.54725,0.156,-0.9447501
0.08425,-0.881,-0.831,-0.61125,0.09125,-1.122
0.194,-0.8980001,-0.85875,-0.64675,0.0575,-1.20575
0.21475,-0.8742501,-0.89275,-0.60275,-0.0175,-1.318
0.25625,-0.8190001,-0.9020001,-0.51275,-0.01425,-1.40875
0.337,-0.78075,-0.8785,-0.4075,-0.04625,-1.4645
0.3005,-0.818,-0.8375,-0.2195,-0.16625,-1.44375
0.3005,-0.818,-0.8375,-0.18525,-0.159,-1.43375
0.3095,-0.849,-0.7905,-0.25,-0.067,-1.37825
0.25325,-0.8717501,-0.729,-0.23525,-0.08175001,-1.243
0.22,-0.8627501,-0.6727501,-0.27225,-0.022,-1.15225
0.23275,-0.7607501,-0.6720001,-0.27625,0.0315,-1.0815
0.12925,-0.686,-0.6637501,-0.32475,0.14875,-1.02525
0.1395,-0.66275,-0.68625,-0.2535,0.183,-1.01875
0.1255,-0.671,-0.679,-0.1695,0.197,-0.9865
0.1525,-0.68975,-0.7305,-0.1805,0.221,-0.86725
0.14575,-0.70625,-0.743,-0.142,0.2075,-0.83775
0.122,-0.7015001,-0.7905,-0.10725,0.253,-0.872
0.11775,-0.6875001,-0.8010001,-0.13125,0.26925,-0.9675
0.04225,-0.8002501,-0.8042501,-0.07925,0.09775001,-1.012
0.2095,-0.6295,-0.86375,-0.066,0.06275,-0.9447501
0.19275,-0.6267501,-0.823,-0.0265,0.07875001,-1.09925
0.207,-0.62925,-0.7912501,0.006,0.09775001,-1.2055
0.2285,-0.5560001,-0.78025,0.08575001,0.101,-1.2695
0.1585,-0.56375,-0.77125,-0.0005,0.082,-1.17825
0.18975,-0.6245,-0.85575,-0.04225,-0.01075,-1.17625
0.128,-0.8365,-0.8905001,-0.07,-0.06,-1.16825
0.0065,-0.6335,-0.8815001,-0.09125,-0.047,-1.1835
-0.0025,-0.54075,-0.8215001,-0.18225,-0.018,-1.15525
0.0085,-0.4935,-0.7500001,-0.16075,0.02175,-1.0765
0.0455,-0.37425,-0.51775,-0.2965,0.14475,-1.159
0.0715,-0.3775,-0.6070001,-0.325,0.07575,-1.12425
0.063,-0.4645,-0.87275,-0.27025,-0.032,-1.0465
0.1525,-0.6745,-0.84525,-0.1545,-0.0035,-0.7735
0.1375,-0.77525,-0.8222501,-0.10875,0.054,-0.62575
0.162,-0.882,-0.87875,-0.4775,0.1725,-0.9965001
0.1725,-0.724,-1.07425,-0.17925,0.0295,-0.901
0.1725,-0.724,-1.07425,-0.288,0.25825,-0.94125
0.1725,-0.724,-1.07425,-0.27025,0.20875,-0.7960001
0.12275,-0.622,-1.15625,-0.175,0.2405,-0.85
0.1465,-0.4675,-1.163,-0.252,0.2865,-0.987
0.2405,-0.318,-1.06425,-0.24825,0.27325,-1.11425
0.273,-0.28375,-0.89025,-0.11225,0.1205,-1.1745
0.2035,-0.3225,-0.8987501,-0.06675,0.0245,-1.20075
0.136,-0.32975,-1.00525,-0.072,-0.09225,-1.1565
-0.0365,-0.2665,-1.01775,-0.1055,-0.22,-1.006
-0.0365,-0.2665,-1.01775,-0.2085,-0.35525,-0.98225
-0.258,-0.28375,-0.8347501,-0.321,-0.363,-0.89175
-0.36975,-0.1405,-1.0615,-0.31675,-0.38675,-0.64025
-0.342,-0.08825,-1.0245,-0.37275,-0.3965,-0.61875
-0.28675,-0.04575,-0.9865,-0.3275,-0.432,-0.6102501
-0.22875,-0.04675,-1.0925,-0.3165,-0.46225,-0.73825
-0.17375,-0.0625,-1.162,-0.28275,-0.47075,-0.816
-0.1115,-0.0545,-1.15125,-0.24325,-0.42075,-0.892
0.00075,-0.05175,-1.1695,-0.316,-0.32925,-1.117
0.00075,-0.05175,-1.1695,-0.36175,-0.39225,-1.16925
0.00075,-0.05175,-1.1695,-0.28425,-0.47575,-1.199
-0.06875,0.047,-1.19175,-0.18225,-0.4355,-1.23925
-0.0125,-0.02375,-1.13575,-0.232,-0.359,-1.1
0.03175,-0.09825,-1.084,-0.2915,-0.358,-0.9572501
-0.0735,-0.20725,-1.11325,-0.36525,-0.305,-0.8205
-0.175,-0.244,-1.09,-0.3745,-0.38725,-0.6892501
-0.20125,-0.23725,-1.101,-0.34775,-0.43275,-0.6727501
-0.0565,-0.12925,-0.8940001,-0.31875,-0.33325,-0.8132501
-0.01925,-0.172,-0.8757501,-0.3185,-0.33475,-0.8972501
-0.04475,-0.14425,-0.9515001,-0.30625,-0.36175,-0.96075
-0.0165,-0.13975,-0.9935001,-0.27375,-0.30925,-1.087
-0.01375,-0.2085,-1.033,-0.27375,-0.30925,-1.087
-0.07,-0.25575,-1.02125,-0.2435,-0.2805,-1.07875
0.01375,-0.285,-1.0715,-0.23275,-0.28275,-1.0875
0.01,-0.335,-1.06425,-0.22025,-0.321,-1.0755
-0.0055,-0.32,-1.0415,-0.18,-0.336,-0.9102501
-0.007,-0.3115,-1.04275,-0.192,-0.37075,-0.90275
-0.0005,-0.28875,-1.02425,-0.1675,-0.34675,-0.8700001
0.04725,-0.256,-1.036,-0.207,-0.33775,-0.882
-0.022,-0.26125,-0.9992501,-0.221,-0.405,-0.85675
-0.029,-0.2415,-0.92475,-0.13775,-0.3655,-0.7515
0.00475,-0.2745,-0.969,-0.0475,-0.3385,-0.7360001
0.0315,-0.28825,-0.96925,-0.04575,-0.54175,-0.8795
0.04775,-0.42975,-0.983,-0.10025,-0.54625,-0.9135001
