2,QAQ,21_58_32_2021_02_18,50,300,12
0.1205,-0.22425,-0.7220001,0.006,-0.47625,-0.588
0.14475,-0.273,-0.70775,-0.0395,-0.42175,-0.3755
0.199,-0.381,-0.75025,0.1645,-0.35825,-0.9395
0.319,-0.456,-0.7645,0.22875,-0.2595,-0.63275
0.259,-0.4285,-0.7915,0.23925,-0.30375,-0.5017501
0.244,-0.37075,-0.73425,0.2755,-0.22025,-0.5782501
0.25,-0.35275,-0.69775,0.0015,-0.35175,-0.91175
0.295,-0.44425,-0.90475,0.28025,-0.59675,-0.40225
0.2495,-0.50525,-0.9052501,0.22525,-0.7302501,-0.44975
0.31225,-0.43925,-0.9342501,0.3415,-0.683,-0.37575
0.2235,-0.484,-0.7032501,0.4095,-0.57975,-0.3385
0.20375,-0.45325,-0.59775,0.4135,-0.50875,-0.339
0.14725,-0.4695,-0.4885,0.2735,-0.39525,-0.501
0.187,-0.597,-0.4585,0.21275,-0.14275,-0.25825
0.265,-0.637,-0.42975,0.305,-0.21275,-0.03375
0.2455,-0.6455,-0.38725,0.46975,-0.50275,-0.31275
0.1565,-0.55625,-0.29975,0.45475,-0.71525,-0.469
0.11225,-0.4985,-0.24,0.46975,-0.825,-0.73425
0.0245,-0.534,-0.2885,0.54875,-0.7605,-0.61375
0.05025,-0.488,-0.287,0.54875,-0.7605,-0.61375
-0.00775,-0.4285,-0.18575,0.85725,-0.8265001,-0.9400001
-0.1195,-0.44975,-0.1635,0.8150001,-0.75625,-1.1215
-0.155,-0.48675,-0.209,0.74975,-0.64325,-1.126
-0.1595,-0.5405,-0.25925,0.6357501,-0.47825,-1.153
-0.1815,-0.6435,-0.278,0.5575,-0.32975,-1.10675
-0.382,-1.01775,-0.17775,0.42675,-0.09150001,-0.7417501
-0.307,-1.11575,-0.367,0.438,-0.07725,-0.6185001
-0.2115,-1.16475,-0.6530001,0.21725,-0.18675,-0.59575
-0.195,-1.147,-0.7435001,0.27025,-0.1325,-0.83525
-0.21725,-1.08475,-0.729,0.23875,-0.1395,-0.9950001
-0.36,-1.32025,-0.91075,0.27975,0.1195,-0.93775
-0.36,-1.32025,-0.91075,0.27975,0.1195,-0.93775
-0.17925,-1.50275,-1.12825,0.22925,0.394,-0.862
-0.132,-1.53675,-1.3525,0.42325,0.207,-1.09775
