2,Good,19_50_24_2021_02_19,50,300,13
0.7780001,0.221,-1.0455,0.44475,-0.139,-0.7105001
0.7705001,0.121,-0.95275,0.316,-0.02425,-0.6665
0.76675,0.04775,-0.853,0.31825,0.134,-0.5875
0.8785,0.09975,-0.62575,0.432,0.5165,-0.668
0.84175,0.02675,-0.756,0.459,0.5315,-0.8695
0.82175,-0.0925,-0.7820001,0.50775,0.48675,-1.064
1.02875,-0.0335,-0.6645001,0.50775,0.48675,-1.064
0.91875,-0.09900001,-0.38075,0.571,0.39875,-1.00025
0.78825,-0.37875,0.00475,0.58675,0.2305,-0.9795001
0.64425,-0.53425,0.11625,0.58675,0.2305,-0.9795001
0.742,-0.53375,-0.00325,0.62975,0.13125,-0.8475
0.8397501,-0.6580001,-0.105,0.62975,0.13125,-0.8475
0.95275,-0.84325,-0.09450001,0.661,0.06425,-0.8222501
0.95275,-0.84325,-0.09450001,0.6225,0.11875,-0.735
0.98325,-0.7405,-0.01975,0.6225,0.11875,-0.735
0.868,-0.504,-0.162,0.61725,0.12375,-0.62725
0.8272501,-0.37025,-0.24,0.61725,0.12375,-0.62725
0.75025,-0.3465,-0.283,0.626,0.0925,-0.56575
0.7607501,-0.247,-0.25925,0.6645001,0.0065,-0.7255
1.0865,0.06075,-0.1345,0.6645001,0.0065,-0.7255
1.337,0.0345,-0.1735,0.68575,-0.0925,-0.78275
1.45475,-0.7402501,-0.77,0.68575,-0.0925,-0.78275
1.408,-0.654,-0.525,0.68575,-0.0925,-0.78275
1.2045,-0.39675,-0.3965,0.68575,-0.0925,-0.78275
1.35475,-0.58825,-0.627,0.6035,-0.16125,-0.6755
1.499,-0.731,-0.8335,0.59925,0.0885,-0.8245
1.3155,-0.56975,-0.76175,0.5385,-0.094,-0.756
1.347,-0.28625,-0.7405,0.64375,-0.24525,-0.8805
1.15975,-0.30325,-0.57725,0.509,-0.35825,-0.803
0.9645001,-0.272,-0.5272501,0.574,-0.30275,-0.82925
0.937,-0.23225,-0.4325,0.5055,-0.7690001,-1.1335
0.9255,-0.1545,-0.4445,0.44375,-0.6785001,-1.028
0.91225,-0.1165,-0.3275,0.6055,-0.6835001,-0.96575
0.8850001,-0.07600001,-0.21025,0.66275,-0.56575,-0.65275
0.82375,-0.0495,-0.21875,0.638,-0.6305,-0.5642501
0.839,0.12275,-0.29025,0.64925,-1.17725,-1.0715
0.7075,0.09175,-0.27675,0.60925,-0.895,-0.7072501
0.6595,0.20425,-0.25625,0.7402501,-0.63175,-0.52925
0.6447501,0.16275,-0.225,0.613,-0.552,-0.43125
0.51825,-0.03375,-0.256,0.58425,-0.51275,-0.44975
0.36575,0.054,-0.13325,0.6235,-0.56225,-0.51675
0.43,0.0755,-0.10125,0.5987501,-0.49225,-0.47475
0.528,0.1295,-0.35,0.57525,-0.34225,-0.3535
0.487,0.085,-0.3805,0.59725,-0.1415,-0.18625
0.53125,-0.068,-0.363,0.3205,-0.33175,-0.08875
0.5527501,-0.089,-0.46675,0.33775,-0.4445,-0.047
0.57375,-0.01525,-0.426,0.325,-0.45825,-0.1475
0.64,-0.00875,-0.37825,0.325,-0.45825,-0.1475
0.7105001,-0.23625,-0.4255,0.2825,-0.234,-0.05075
0.7105001,-0.23625,-0.4255,0.2825,-0.234,-0.05075
0.7105001,-0.23625,-0.4255,0.2825,-0.234,-0.05075
1.21175,-0.53475,-0.957,0.48525,-0.08525001,0.03875
1.53525,-0.534,-0.85075,0.666,0.014,-0.00075
1.309,-0.403,-0.8535001,0.25575,-0.48425,-0.27275
