2,Bad,19_38_06_2021_02_19,50,300,0
0.438,0.17225,-1.0105,0.72075,0.20725,-0.527
0.48825,0.1675,-0.93475,0.64925,0.3535,-0.45125
0.509,0.2005,-0.8255,0.63875,0.35025,-0.4905
0.49775,0.20725,-0.8575,0.6365,0.34975,-0.6905
0.4895,0.12825,-0.92475,0.75375,0.34725,-0.832
0.53,0.11325,-0.9037501,0.831,0.0965,-0.7595
0.499,0.1105,-0.89825,0.85075,-0.204,-0.942
0.5045,0.09875,-0.9110001,0.9675,-0.10825,-0.70825
0.5395,0.1255,-0.88625,0.9735001,0.0935,-0.66225
0.569,0.1715,-0.7465,0.92225,0.1945,-0.8100001
0.557,0.1165,-0.7375,0.8997501,0.12475,-0.8132501
0.56675,0.09125,-0.763,0.8190001,0.0065,-0.7595
0.59975,0.0425,-0.9305,0.8335,-0.019,-0.75375
0.5625,0.09150001,-0.95575,0.851,0.01525,-0.72525
0.51775,0.1475,-0.94275,0.8477501,0.09500001,-0.60425
0.507,0.19925,-0.90075,0.65025,0.212,-0.3895
0.52275,0.28575,-0.8822501,0.5955001,0.13875,-0.46525
0.5115,0.26225,-0.8882501,0.56525,-0.04925,-0.582
0.514,0.22325,-0.8835,0.55725,0.014,-0.505
0.53325,0.172,-0.87375,0.591,0.047,-0.43425
0.55,0.1205,-0.85675,0.5782501,0.05,-0.32175
0.535,0.0965,-0.88925,0.6192501,0.143,-0.11525
0.5205,0.09975,-0.9145001,0.80225,0.12,-0.31025
0.5100001,0.16825,-0.89025,0.72225,0.02275,-0.4585
0.51075,0.18525,-0.89025,0.693,-0.02175,-0.636
0.52975,0.19925,-0.87525,0.6425,-0.03375,-0.6635
0.509,0.19575,-0.8577501,0.6425,-0.03375,-0.6635
0.5085,0.183,-0.87225,0.75375,0.0595,-0.68075
0.55325,0.183,-0.91475,0.8010001,0.01775,-0.785
0.54875,0.10575,-0.8512501,0.82125,0.11875,-0.7657501
0.47275,0.037,-0.84075,0.8535001,0.141,-0.70025
0.448,0.06,-0.8955001,0.80875,0.17875,-0.6895
0.4695,0.1665,-0.9447501,0.7905,0.2615,-0.654
0.48325,0.264,-0.9575,0.86,0.308,-0.566
