2,vdi30,15_47_12_2021_02_19,50,300,1
1.2125,-0.1605,-0.13375,1.09825,0.14775,0.07025
1.2145,-0.22825,-0.11875,1.10625,0.129,-0.023
1.39775,-0.07725,-0.0115,1.0755,0.16825,-0.06925
1.43325,-0.04175,0.16225,1.07775,0.202,-0.03175
1.34975,-0.0795,0.2605,1.0825,0.204,-0.04025
1.24075,-0.14175,0.14875,1.0115,0.16025,-0.11075
0.8890001,-0.169,-0.154,0.9622501,0.141,-0.1135
0.8105,-0.153,-0.32275,0.92725,0.11,-0.09075
0.77425,-0.30925,-0.29375,0.83275,0.0195,-0.06075
0.78225,-0.36025,-0.23625,1.01825,-0.021,-0.02325
0.66225,-0.3185,-0.259,1.045,-0.0185,-0.02025
0.57075,-0.26875,-0.27175,0.92125,-0.0265,-0.039
0.5805,-0.25875,-0.3445,0.86475,-0.08125,-0.07275
0.62525,-0.23775,-0.3865,0.9532501,-0.12125,-0.148
0.85625,-0.01425,-0.47125,0.88625,-0.12275,-0.1415
0.9342501,0.0025,-0.327,0.9545,-0.03375,-0.2235
0.9292501,-0.01475,-0.23,0.9202501,-0.01775,-0.20525
0.9525,-0.0265,-0.16825,1.0025,-0.01925,-0.14475
1.20375,-0.021,0.1405,1.01175,-0.06425,-0.12175
1.2075,-0.0185,0.08175001,1.03375,-0.07650001,-0.134
1.2565,0.074,0.0195,1.061,-0.019,-0.13875
1.227,0.0225,0.047,1.08775,0.02425,-0.178
1.2025,-0.00675,0.0625,1.05825,0.04225,-0.13275
1.1305,-0.049,0.01575,1.04175,0.06125,-0.1375
1.065,0.05225,0.00175,1.02225,0.08275001,-0.20175
1.00425,0.05575,-0.05425,0.973,0.07975,-0.1865
0.9825001,0.00875,-0.081,0.9770001,0.00125,-0.15675
1.02825,0.01075,-0.0535,0.9020001,-0.0165,-0.5275
1.03475,-0.01425,-0.02625,0.779,0.06900001,-0.08925001
1.03125,-0.032,-0.03575,1.251,-0.22125,0.0305
1.028,0.00725,-0.1235,1.0645,-0.2055,-0.07700001
1.03575,0.0215,-0.13575,0.9367501,-0.042,-0.111
1.037,0.03125,-0.14575,0.9615,-0.1215,-0.0545
1.03325,0.00225,-0.1275,0.9535,-0.13225,-0.10625
1.03325,0.00225,-0.1275,0.9535,-0.13225,-0.10625
1.0735,0.00075,-0.1235,1.10975,-0.27275,-0.07125001
1.07475,-0.01175,-0.1145,1.04525,-0.13425,-0.0685
1.06525,-0.03125,-0.09425,0.99475,-0.118,-0.08975001
1.059,-0.0065,-0.03075,1.02675,-0.109,-0.0745
1.05325,0.02025,-0.046,1.02325,-0.09375001,-0.087
1.06075,0.037,-0.042,1.00475,-0.1375,-0.09125
1.07225,0.04475,-0.0425,1.037,-0.03425,-0.086
1.063,0.0045,-0.01975,1.05575,-0.01375,-0.09325001
1.0575,0.00025,-0.023,1.06575,-0.0015,-0.079
1.03975,0.00875,-0.02025,1.0605,-0.0155,-0.1045
1.024,-0.02125,0.00425,1.0605,-0.0155,-0.1045
1.041,0.005,-0.02275,1.0345,-0.027,-0.087
1.044,0.0755,-0.06325001,1.041,-0.0355,-0.109
1.05975,0.071,0.046,1.0115,-0.05425,-0.1415
1.04125,0.041,-0.0215,1.00225,-0.05425,-0.108
1.0685,-0.0105,0.0045,1.02,-0.07775,-0.13425
1.06625,-0.034,0.018,1.02,-0.07775,-0.13425
1.06625,-0.034,0.018,1.02,-0.07775,-0.13425
1.048,0.01175,-0.03575,0.951,-0.079,-0.109
0.9960001,0.06125,-0.00875,1.0115,-0.1055,-0.12025
1.0355,0.023,0.04225,1.01275,-0.11775,-0.1245
1.043,0.06725001,-0.0325,1.042,-0.074,-0.112
1.00825,0.04925,-0.0415,1.039,-0.0205,-0.08750001
1.0635,0.054,-0.0135,1.05525,-0.05275,-0.1075
1.071,0.0435,0.02675,1.0375,-0.05275,-0.1025
1.05725,0.03025,0.0015,1.046,-0.06925,-0.09
1.043,0.0245,-0.00675,1.03425,-0.108,-0.09525
1.059,0.00075,0.013,0.9102501,-0.03525,-0.06275
1.05675,0.02425,-0.026,1.0065,-0.0905,-0.06725001
1.06575,0.02,-0.02775,1.0065,-0.0905,-0.06725001
1.07575,-0.004,-0.024,0.97325,-0.01725,-0.09900001
1.02125,0.0065,-0.06775001,0.984,-0.2765,-0.00675
1.08425,-0.0255,0.07875001,0.95775,-0.215,-0.10675
1.035,0.02175,0.0005,1.10025,-0.09625001,-0.1445
1.036,0.04925,0.0025,1.048,-0.04925,-0.09900001
1.042,0.0515,0.004,1.026,-0.07300001,-0.111
1.0425,0.016,-0.01775,1.061,-0.0405,-0.085
1.0585,0.02075,-0.02525,1.073,-0.098,-0.1095
1.047,0.06425,-0.0125,1.09075,-0.161,-0.13575
0.8477501,-0.0085,-0.03225,1.029,-0.197,-0.11225
1.067,-0.05875,0.09975,0.9522501,-0.2065,-0.1025
1.02725,-0.00475,-0.014,0.9432501,-0.19725,-0.1745
1.0945,0.0045,-0.067,0.7505,-0.25825,-0.12525
1.07925,0.01375,-0.028,0.8745,-0.218,-0.1385
1.09475,0.02325,-0.03175,0.6810001,-0.138,-0.0865
1.09075,-0.041,-0.087,1.48875,-0.0645,0.00375
1.0985,-0.10075,-0.04125,1.04575,-0.14575,-0.2045
1.1025,-0.09625001,-0.0145,1.0965,-0.1805,-0.21675
1.0695,0.016,-0.06475,1.09875,-0.12875,-0.2015
1.002,-0.009000001,-0.06475,1.0945,-0.155,-0.199
1.0385,0.004,0.08450001,1.0225,-0.149,-0.1855
1.02725,-0.0025,-0.0465,0.909,-0.1045,-0.21
1.012,0.05475,-0.213,1.0065,-0.1195,-0.1055
1.045,0.01925,-0.148,1.00225,-0.16625,-0.2175
1.0275,-0.08225001,-0.14275,1.03475,-0.144,-0.11025
1.035,-0.03425,-0.204,1.012,-0.09275001,-0.04025
1.0735,0.05575,-0.22825,1.02625,-0.216,-0.17025
1.0945,0.15375,-0.18825,0.93525,-0.07300001,-0.06925
0.984,0.07425001,-0.13875,0.9665,-0.037,-0.0645
