2,Doc,02_22_47_2021_02_07,50,300,12
0.774,0.12525,-0.692,0.07525001,-0.0415,-0.99975
0.772,0.12925,-0.6842501,0.07525001,-0.0415,-0.99975
0.767,0.1425,-0.6817501,0.07525001,-0.0415,-0.99975
0.7657501,0.1455,-0.6805,0.07525001,-0.04125,-0.998
0.7675,0.14725,-0.6775,0.07525001,-0.04225,-0.998
0.7747501,0.14375,-0.6825,0.07600001,-0.04225,-0.99875
0.77575,0.1335,-0.6785001,0.07575,-0.042,-0.9982501
0.7787501,0.1285,-0.675,0.07650001,-0.0425,-0.9995
0.7820001,0.12025,-0.67975,0.0755,-0.042,-0.99725
0.784,0.12275,-0.6752501,0.07575,-0.0415,-0.9990001
0.7805001,0.1245,-0.67375,0.07525001,-0.04225,-0.99875
0.784,0.128,-0.67475,0.07675,-0.043,-0.998
0.78475,0.13225,-0.6695001,0.07600001,-0.0425,-0.9992501
0.7825,0.13025,-0.6685,0.07600001,-0.0415,-0.998
0.7835,0.12625,-0.6795,0.0755,-0.04275,-0.9982501
0.7835,0.12625,-0.6795,0.07700001,-0.043,-0.99975
0.7820001,0.1185,-0.683,0.07575,-0.042,-0.9982501
0.7855,0.1105,-0.68525,0.075,-0.04175,-1
0.7865,0.1055,-0.6735001,0.075,-0.04225,-0.998
0.7845001,0.10925,-0.6670001,0.07650001,-0.044,-0.99975
0.7845001,0.1125,-0.66675,0.07575,-0.042,-0.9990001
0.7877501,0.11575,-0.6637501,0.07575,-0.042,-0.9990001
0.791,0.1185,-0.67225,0.075,-0.041,-1
0.789,0.114,-0.67125,0.07650001,-0.044,-1.00025
0.7935001,0.10925,-0.6735001,0.07725,-0.04375,-0.9982501
0.78975,0.109,-0.67125,0.0755,-0.04225,-0.9990001
0.78825,0.107,-0.6715,0.0755,-0.04325,-0.99875
0.786,0.10725,-0.6715,0.07600001,-0.043,-0.998
0.7885,0.0975,-0.67175,0.07600001,-0.043,-0.9982501
0.785,0.09475,-0.67125,0.07600001,-0.043,-0.99775
0.7887501,0.09425,-0.6855,0.07600001,-0.04325,-0.9992501
0.781,0.09675001,-0.687,0.07625,-0.044,-0.9995
0.77425,0.1045,-0.68825,0.07625,-0.044,-0.9995
0.77075,0.1155,-0.6885,0.07575,-0.04275,-0.9992501
0.77075,0.1155,-0.6885,0.074,-0.04075,-0.998
0.767,0.12675,-0.69025,0.074,-0.04075,-0.998
0.7657501,0.11175,-0.7130001,0.07475001,-0.042,-0.9982501
