2,Tony,01_37_16_2021_02_07,50,300,9
0.334,-0.6235,-0.314,-0.09275001,-0.572,-1.30025
0.44875,-0.5075001,-0.44875,0.015,-0.6867501,-1.2325
0.48975,-0.4085,-0.46525,0.11775,-0.735,-1.12425
0.523,-0.33525,-0.48125,0.11775,-0.735,-1.12425
0.5477501,-0.27425,-0.75625,0.12625,-0.724,-1.01575
0.55625,-0.316,-1.0285,0.09275001,-0.6205,-0.9135001
0.56875,-0.35225,-1.128,0.09275001,-0.6205,-0.9135001
0.53725,-0.275,-0.937,0.13625,-0.5145,-0.869
0.5335,-0.14825,-0.83175,0.286,-0.314,-0.7385001
0.5365,-0.093,-0.8847501,0.286,-0.314,-0.7385001
0.51775,-0.009500001,-1.0805,0.3045,-0.105,-0.446
0.52175,0.04575,-1.0655,0.12175,0.3615,-0.18625
0.48475,0.13425,-0.96425,0.12175,0.3615,-0.18625
0.39725,0.29175,-0.8345,0.3115,0.37825,0.2255
0.35375,0.269,-0.8347501,0.598,0.306,0.08050001
0.3615,0.214,-0.82925,0.598,0.306,0.08050001
0.36725,0.24725,-0.7745,-0.08475,-1.33425,-0.09625001
0.40725,0.3395,-0.74325,-0.26275,-2.41275,0.228
0.461,0.4235,-0.7965,-0.72525,-2.63,0.5132501
0.4395,0.3565,-1.369,0.02725,-0.3155,0.08750001
0.57975,0.202,-1.61,0.58775,0.24575,0.1995
0.465,0.21575,-1.33875,-0.08325,0.0265,0.3525
0.4775,0.25,-0.69375,0.12375,-0.77425,-0.287
0.4575,0.2565,-0.7047501,0.66,-1.0975,-0.437
0.435,0.22125,-0.7795,1.11,-1.177,-0.461
0.42775,0.19225,-0.845,1.06975,-1.03525,-0.507
0.41525,0.2395,-0.91225,0.61725,-0.9295,-0.36275
0.4575,0.27975,-0.952,0.448,-1.037,-0.25
0.46325,0.22225,-1.10275,0.36625,-1.103,-0.1585
0.44775,0.15725,-0.9787501,0.299,-1.06125,-0.09450001
0.47875,0.08275001,-0.863,0.299,-1.06125,-0.09450001
0.5185,0.03825,-0.8200001,0.2455,-0.94925,0.0685
0.5325,0.01975,-0.8525,0.1305,-0.93725,0.4065
0.521,-0.0075,-0.87625,0.1305,-0.93725,0.4065
0.5345,0.0575,-0.9052501,-0.231,-1.17525,0.61225
0.51775,-0.038,-0.941,-0.3605,-1.363,0.549
0.51725,-0.08675,-0.909,-0.3605,-1.363,0.549
0.52675,-0.08225001,-0.8972501,-0.1245,-1.40275,0.349
0.535,-0.024,-0.8855,-0.103,-1.31575,0.19675
0.5387501,0.01625,-0.864,-0.103,-1.31575,0.19675
0.511,0.048,-0.88275,-0.058,-1.09725,0.09950001
0.546,0.06225,-0.90025,0.142,-0.9035,0.0515
0.5015,0.0565,-0.8975,0.142,-0.9035,0.0515
0.49725,0.1165,-0.9202501,0.25325,-0.91425,-0.19275
0.44075,0.1415,-0.9585,1.38625,-2.7625,0.128
0.456,0.1375,-0.9515001,1.38625,-2.7625,0.128
0.44025,0.15425,-0.9767501,0.47825,-1.29875,-0.2295
